pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1905.2489047767654,0.0,60.0,0.0,0.44467841499863425,0.0,0.0005910039981245063,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1885.4803762884546,0.0,80.0,0.0,0.8097167599989916,0.0,0.0006145250008557923,0.0,0.0,0.0,0.5,0.0,44.98267828565986,0.0,0.027225491600721297,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1930.4464321269775,0.0,120.0,0.0,1.464026390996878,0.0,0.000659304998407606,0.0,0.0,0.0,0.5,0.0,107.70749079636153,0.0,0.021596145432440927,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1939.0390281635946,0.0,200.0,0.0,2.7964402539946605,0.0,0.0007946670011733659,0.0,0.0,0.0,0.5,0.0,130.24563103553191,0.0,0.03125774353720856,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1942.1910982185193,0.0,200.0,0.0,5.604016821998812,0.0,0.0007820460014045238,0.0,0.0,0.0,0.5,0.0,137.50163185152996,0.0,0.034146774174665495,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1945.5330908526244,0.0,300.0,0.0,8.150100405000558,0.0,0.0009237479971488938,0.0,0.0,0.0,0.5,0.0,147.49980537900592,0.0,0.040302677826600686,0.0,0.0,0.0,300.0,0.0
