bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.262347
0.5000,0.5000,1.238043
1.4999,1.4999,1.233745
3.4998,3.4998,1.228561
7.4995,7.4995,1.220465
13.4991,13.4991,1.206576
21.4986,17.4989,1.182462
29.4981,21.4986,1.150957
37.4975,25.4983,1.118462
45.4970,29.4981,1.084274
53.4965,33.4978,1.052507
61.4960,37.4975,1.019165
