pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1914.4351609891892,0.0,60.0,0.0,0.4487476569993305,0.0,0.0005991240032017231,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1930.772851645594,0.0,80.0,0.0,0.8248711460037157,0.0,0.0006153449940029532,0.0,0.5,0.0,1.0,0.0,34.54033033323685,0.0,0.013771974931011899,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1926.7337987031572,0.0,120.0,0.0,1.4888314209965756,0.0,0.0006754950009053573,0.0,0.0,0.0,1.0,0.0,34.79254890332959,0.0,0.010156505232418178,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1939.1036158046602,0.0,200.0,0.0,2.822517743006756,0.0,0.0007970959995873272,0.0,0.0,0.0,1.0,0.0,68.88143886936632,0.0,0.024739336815119417,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1944.1912996694036,0.0,200.0,0.0,5.636017338001693,0.0,0.0007867759995860979,0.0,0.0,0.0,1.0,0.0,91.83978354186365,0.0,0.03725802493732999,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1944.786724294961,0.0,300.0,0.0,8.222724751001806,0.0,0.0009312179972766899,0.0,0.0,0.0,1.0,0.0,92.10339647357432,0.0,0.037616767375618254,0.0,0.0,0.0,300.0,0.0
