idx,phase,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,F_core,F_asm,k_bol,keff_core,EFPD,g_kmin,g_kmax,g_enr,g_peak,g_geom
37,it1,14.0402,11.1591,5.9341,1.1501,19.4723,2.1308,1.2161,1.3671,1.29465,7513,-0.3471,0.0171,-5.7098,0.1308,-0.0153
38,it1,14.0572,11.1989,5.9341,1.1500,19.4685,2.0822,1.2280,1.3675,1.29472,7513,-0.3475,0.0175,-5.6928,0.0822,-0.0222
39,it1,14.0156,11.1876,5.9319,1.1500,19.4867,2.1249,1.2317,1.3689,1.29475,7513,-0.3489,0.0189,-5.7344,0.1249,-0.0020
40,it1,14.0039,11.1876,5.9319,1.1500,19.4771,2.0465,1.2261,1.3664,1.29425,7513,-0.3464,0.0164,-5.7461,0.0465,-0.0115
41,it1,14.0368,11.2514,6.0405,1.1501,19.3766,2.1047,1.2254,1.3667,1.29490,7513,-0.3467,0.0167,-5.7132,0.1047,-0.1066
42,it2,11.5379,11.9316,8.0000,1.1500,19.4914,1.9621,1.1710,1.3556,1.28361,7513,-0.3356,0.0056,-7.8184,-0.0379,-0.0001
43,it2,11.5379,11.9316,8.0000,1.1500,19.4913,1.9982,1.1549,1.3555,1.28412,7513,-0.3355,0.0055,-7.8184,-0.0018,-0.0002
44,it2,11.5379,11.9316,8.0000,1.1500,19.4914,1.9472,1.1584,1.3564,1.28432,7513,-0.3364,0.0064,-7.8184,-0.0528,-0.0001
45,it2,11.5379,11.9316,7.9999,1.1500,19.4914,2.0102,1.1497,1.3561,1.28387,7513,-0.3361,0.0061,-7.8184,0.0102,-0.0001
46,it2,11.5378,11.9316,7.9999,1.1500,19.4914,1.9690,1.1598,1.3567,1.28521,7513,-0.3367,0.0067,-7.8184,-0.0310,-0.0001
47,it2,11.5378,11.9316,7.9999,1.1500,19.4914,1.9752,1.1593,1.3555,1.28387,7513,-0.3355,0.0055,-7.8184,-0.0248,-0.0001
48,it3,10.8581,11.7470,7.9805,1.1500,19.4845,2.0234,1.1783,1.3507,1.27871,7513,-0.3307,0.0007,-8.0030,0.0234,-0.0062
49,it3,10.8581,11.7470,7.9804,1.1500,19.4775,2.0102,1.1744,1.3494,1.27857,7513,-0.3294,-0.0006,-8.0030,0.0102,-0.0133
50,it3,10.8581,11.7471,7.9776,1.1500,19.4703,2.0171,1.1762,1.3497,1.27913,7513,-0.3297,-0.0003,-8.0029,0.0171,-0.0209
51,it3,10.8581,11.7471,7.9777,1.1500,19.4623,2.0471,1.1660,1.3502,1.27915,7513,-0.3302,0.0002,-8.0029,0.0471,-0.0290
52,it3,10.8581,11.7471,7.9776,1.1500,19.3797,2.0233,1.1641,1.3500,1.27863,7513,-0.3300,0.0000,-8.0029,0.0233,-0.1115
53,it3,10.8583,11.7470,7.9806,1.1500,19.3624,1.9773,1.1648,1.3503,1.27817,7513,-0.3303,0.0003,-8.0030,-0.0227,-0.1284
