pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
20,20,400,8,False,0.0,0.0,0.0002586661527889483,0.0006843663128693936,nan,nan,17.75,5.952940449895329,0.10719286589301191,0.008894555313426469,0.0007456571038346738,5.296899979912708e-05,0.0,0.0,0.5,0.5,788.3869074846866,812.5662487995887,0.019293927071589168,0.014787549057047947,0.0,0.0,14.375,7.364399160827718
60,80,4800,8,True,0.0,0.0,0.0,0.0,nan,nan,60.0,0.0,1.0048845713754417,0.004703517040365553,0.0011120586277684197,1.2662576409800734e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
60,160,9600,8,False,0.0,0.0,0.0,0.0,nan,nan,60.0,0.0,2.00054389363504,0.004747377668453806,0.001101302244933322,7.436454141496906e-06,0.3958333333333333,0.23477974311634675,1.0,0.0,25.833316866020937,33.354620958152196,0.00606816990616052,0.006925684714253805,0.0,0.0,60.0,0.0
80,120,9600,8,False,0.0,0.0,0.0,0.0,nan,nan,80.0,0.0,1.8466268155025318,0.005754326397299213,0.001169121969724074,4.088277998553159e-06,0.0625,0.08068715304598785,1.0,0.0,30.44524157417652,38.92190939855304,0.007327866666186428,0.008276465601684832,0.0,0.0,80.0,0.0
120,80,9600,8,False,0.0,0.0,0.0,0.0,nan,nan,120.0,0.0,1.6849692644755123,0.005767763534102684,0.001306444755755365,9.985549693276625e-06,0.08333333333333333,0.16666666666666669,1.0,0.0,27.630881337140977,38.41623453886991,0.0065764101735213965,0.00807488423304157,0.0,0.0,120.0,0.0
120,160,19200,8,False,0.0,0.0,0.0,0.0,nan,nan,120.0,0.0,3.3962819988810224,0.04244713728429647,0.0013166298740543425,1.1877641231148115e-05,0.08333333333333333,0.14433756729740646,1.0,0.0,30.944730321774387,42.130925130194655,0.006971170477363092,0.009509928345081419,0.0,0.0,120.0,0.0
