bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.414828
0.5000,0.5000,1.401902
1.4999,1.4999,1.394033
3.4998,3.4998,1.382856
7.4995,7.4995,1.361746
13.4991,13.4991,1.335640
21.4986,17.4989,1.320401
29.4981,21.4986,1.303441
37.4975,25.4983,1.285521
45.4970,29.4981,1.266024
53.4965,33.4978,1.249037
61.4960,37.4975,1.229331
69.4954,41.4973,1.211801
74.9951,42.9972,1.204513
