idx,n_blocks,n_ghosts,ghost_jump_pcm,bu_label_final,bu_true_final,efpd_label,efpd_true,overstatement,slope_true_pcm,k_target,status,censored,eoc_true_bu,eoc_true_efpd
0,9,8,1023.5,74.995,42.997,7512.5,4307.2,1.744,586.2,1.054,censored_at_cap,True,,
1,9,8,927.8,74.995,42.997,7512.5,4307.2,1.744,525.9,1.04943,censored_at_cap,True,,
2,9,8,726.2,74.995,42.997,7512.5,4307.2,1.744,439.6,1.0494,censored_at_cap,True,,
3,9,8,877.7,74.995,42.997,7512.5,4307.2,1.744,593.8,1.05908,censored_at_cap,True,,
4,9,8,664.8,74.995,42.997,7512.5,4307.2,1.744,490.5,1.06076,censored_at_cap,True,,
5,9,8,529.9,74.995,42.997,7512.5,4307.2,1.744,281.7,1.04875,censored_at_cap,True,,
6,9,8,637.0,74.995,42.997,7512.5,4307.2,1.744,525.9,1.06005,censored_at_cap,True,,
7,9,8,543.2,74.995,42.997,7512.5,4307.2,1.744,509.5,1.06378,censored_at_cap,True,,
8,9,8,1074.1,74.995,42.997,7512.5,4307.2,1.744,626.4,1.054,censored_at_cap,True,,
9,5,4,1137.0,45.497,29.498,4557.6,2954.9,1.542,685.4,1.05725,crossed,False,29.013,2906.3
10,9,8,947.7,74.995,42.997,7512.5,4307.2,1.744,604.0,1.0537,censored_at_cap,True,,
11,9,8,809.6,74.995,42.997,7512.5,4307.2,1.744,459.7,1.04874,censored_at_cap,True,,
12,9,8,512.1,74.995,42.997,7512.5,4307.2,1.744,425.5,1.05816,censored_at_cap,True,,
13,9,8,676.7,74.995,42.997,7512.5,4307.2,1.744,439.3,1.05443,censored_at_cap,True,,
14,9,8,1057.5,74.995,42.997,7512.5,4307.2,1.744,628.1,1.05554,crossed,False,41.566,4163.8
15,9,8,744.8,74.995,42.997,7512.5,4307.2,1.744,434.5,1.04891,censored_at_cap,True,,
16,9,8,607.8,74.995,42.997,7512.5,4307.2,1.744,465.0,1.05956,censored_at_cap,True,,
17,9,8,772.7,74.995,42.997,7512.5,4307.2,1.744,549.3,1.05618,censored_at_cap,True,,
18,9,8,912.3,74.995,42.997,7512.5,4307.2,1.744,590.8,1.06141,crossed,False,42.271,4234.4
19,9,8,626.2,74.995,42.997,7512.5,4307.2,1.744,477.7,1.06173,censored_at_cap,True,,
20,9,8,635.6,74.995,42.997,7512.5,4307.2,1.744,390.4,1.05811,censored_at_cap,True,,
21,9,8,657.8,74.995,42.997,7512.5,4307.2,1.744,504.2,1.05981,censored_at_cap,True,,
22,9,8,588.4,74.995,42.997,7512.5,4307.2,1.744,464.3,1.05848,censored_at_cap,True,,
23,9,8,1136.4,74.995,42.997,7512.5,4307.2,1.744,631.1,1.04747,censored_at_cap,True,,
24,9,8,1045.9,74.995,42.997,7512.5,4307.2,1.744,570.9,1.05243,crossed,False,41.692,4176.4
25,9,8,608.6,74.995,42.997,7512.5,4307.2,1.744,411.2,1.0566,censored_at_cap,True,,
26,9,8,616.9,74.995,42.997,7512.5,4307.2,1.744,341.3,1.0531,censored_at_cap,True,,
27,5,4,1301.4,45.497,29.498,4557.6,2954.9,1.542,727.2,1.04575,crossed,False,28.493,2854.2
28,9,8,647.3,74.995,42.997,7512.5,4307.2,1.744,421.2,1.04935,censored_at_cap,True,,
29,9,8,912.2,74.995,42.997,7512.5,4307.2,1.744,510.3,1.05224,censored_at_cap,True,,
30,7,6,943.7,61.496,37.498,6160.3,3756.3,1.64,615.7,1.06225,crossed,False,34.638,3469.8
31,9,8,894.9,74.995,42.997,7512.5,4307.2,1.744,556.2,1.05314,censored_at_cap,True,,
32,9,8,369.7,74.995,42.997,7512.5,4307.2,1.744,337.6,1.06338,censored_at_cap,True,,
33,3,2,1389.9,29.498,21.499,2954.9,2153.6,1.372,624.1,1.06352,crossed,False,17.665,1769.6
34,4,3,1345.1,37.498,25.498,3756.3,2554.3,1.471,780.7,1.05706,crossed,False,24.633,2467.6
35,9,8,747.0,74.995,42.997,7512.5,4307.2,1.744,531.2,1.05592,censored_at_cap,True,,
36,9,8,539.4,74.995,42.997,7512.5,4307.2,1.744,435.0,1.06322,censored_at_cap,True,,
37,9,8,580.5,74.995,42.997,7512.5,4307.2,1.744,440.3,1.06322,censored_at_cap,True,,
38,9,8,547.8,74.995,42.997,7512.5,4307.2,1.744,440.9,1.06323,censored_at_cap,True,,
39,9,8,567.3,74.995,42.997,7512.5,4307.2,1.744,430.2,1.06323,censored_at_cap,True,,
40,9,8,533.3,74.995,42.997,7512.5,4307.2,1.744,426.6,1.06323,censored_at_cap,True,,
41,9,8,538.8,74.995,42.997,7512.5,4307.2,1.744,421.1,1.06319,censored_at_cap,True,,
42,9,8,535.9,74.995,42.997,7512.5,4307.2,1.744,374.5,1.06323,censored_at_cap,True,,
43,9,8,554.7,74.995,42.997,7512.5,4307.2,1.744,397.1,1.06323,censored_at_cap,True,,
44,9,8,583.5,74.995,42.997,7512.5,4307.2,1.744,396.7,1.06323,censored_at_cap,True,,
45,9,8,500.4,74.995,42.997,7512.5,4307.2,1.744,409.4,1.06323,censored_at_cap,True,,
46,9,8,509.6,74.995,42.997,7512.5,4307.2,1.744,408.3,1.06323,censored_at_cap,True,,
47,9,8,528.7,74.995,42.997,7512.5,4307.2,1.744,385.3,1.06323,censored_at_cap,True,,
48,9,8,558.4,74.995,42.997,7512.5,4307.2,1.744,395.9,1.06323,censored_at_cap,True,,
49,9,8,567.3,74.995,42.997,7512.5,4307.2,1.744,407.9,1.06323,censored_at_cap,True,,
50,9,8,567.3,74.995,42.997,7512.5,4307.2,1.744,404.3,1.06323,censored_at_cap,True,,
51,9,8,599.0,74.995,42.997,7512.5,4307.2,1.744,393.2,1.06323,censored_at_cap,True,,
52,9,8,520.2,74.995,42.997,7512.5,4307.2,1.744,397.6,1.0632,censored_at_cap,True,,
53,9,8,553.6,74.995,42.997,7512.5,4307.2,1.744,408.5,1.0632,censored_at_cap,True,,
