bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.408251
0.5000,0.5000,1.393356
1.4999,1.4999,1.384898
3.4998,3.4998,1.379862
7.4995,7.4995,1.370528
13.4991,13.4991,1.345148
21.4986,17.4989,1.323047
29.4981,21.4986,1.302592
37.4975,25.4983,1.277581
45.4970,29.4981,1.255107
53.4965,33.4978,1.233391
61.4960,37.4975,1.210661
69.4954,41.4973,1.190451
74.9951,42.9972,1.179402
