bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.367117
0.5000,0.5000,1.355051
1.4999,1.4999,1.346645
3.4998,3.4998,1.331556
7.4995,7.4995,1.310274
13.4991,13.4991,1.279169
21.4986,17.4989,1.260783
29.4981,21.4986,1.242263
37.4975,25.4983,1.227785
45.4970,29.4981,1.210439
53.4965,33.4978,1.194891
61.4960,37.4975,1.178993
69.4954,41.4973,1.160837
74.9951,42.9972,1.152891
