idx,k_bol_assembly,keff_core_bol,gap_pcm,peaking_core,cycle_length_as_recorded,feasible_assembly_135,feasible_core_135
0,1.21131,1.14775,6356,2.2279,7512.5,0,0
1,1.04371,0.98710,5661,2.8550,0.0,0,0
2,1.17671,1.11019,6652,3.0293,5213.8,0,0
3,1.09189,1.03028,6160,3.9375,2870.4,0,0
4,1.38759,1.32708,6051,2.4348,7512.5,0,0
5,1.44255,1.37620,6635,2.2325,7512.5,0,0
6,1.30729,1.24901,5828,2.6334,7512.5,0,0
7,1.26846,1.20545,6301,2.0489,7512.5,0,0
8,1.32570,1.25900,6670,2.6503,7512.5,0,0
9,1.35240,1.29126,6114,2.3209,7512.5,0,0
10,1.35257,1.29066,6192,2.2200,7512.5,0,0
11,1.36365,1.30486,5879,2.0759,7512.5,0,0
12,1.26028,1.19135,6893,2.9780,6762.0,0,0
13,1.24827,1.19236,5591,2.4552,7512.5,0,0
14,0.96333,0.91175,5158,3.4324,0.0,0,0
15,1.21169,1.15405,5763,2.3754,6144.7,0,0
16,1.46451,1.39225,7225,1.9796,7512.5,0,0
17,1.37641,1.30601,7041,1.9534,7512.5,0,1
18,1.20571,1.15294,5276,2.3029,6766.0,0,0
19,1.44030,1.37662,6368,2.0141,7512.5,0,0
20,1.27827,1.21354,6473,2.6687,7512.5,0,0
21,1.35932,1.28743,7188,2.0189,7512.5,0,0
22,0.79428,0.75129,4299,2.4085,0.0,0,0
23,1.38518,1.31646,6872,2.2912,7512.5,0,0
24,1.18587,1.13351,5236,2.2754,7479.9,0,0
25,1.37040,1.30644,6397,2.7132,7512.5,0,0
26,1.35331,1.28587,6744,2.3128,7512.5,0,0
27,1.40807,1.33888,6919,2.1978,7512.5,0,0
28,1.35445,1.29351,6094,2.0337,7512.5,0,0
29,1.36815,1.30482,6333,2.1699,7512.5,0,0
30,1.37029,1.31024,6005,2.6686,7512.5,0,0
31,1.47852,1.40747,7105,2.2511,7512.5,0,0
32,1.45360,1.38807,6553,2.2747,7512.5,0,0
33,1.05985,1.01080,4906,3.7774,5169.0,0,0
34,1.08698,1.03059,5639,2.1986,4367.1,0,0
35,1.12836,1.06579,6257,2.0946,2892.9,0,0
36,1.15465,1.10295,5170,2.4723,5327.4,0,0
37,1.16244,1.09421,6822,2.8129,3633.0,0,0
38,1.36396,1.29285,7111,2.1902,7512.5,0,0
39,1.30499,1.23833,6667,2.0655,7512.5,0,0
40,1.22192,1.16639,5552,2.4189,6893.4,0,0
41,1.33537,1.26880,6657,2.3357,7512.5,0,0
42,1.36392,1.29052,7340,2.0528,7512.5,0,0
43,1.36137,1.28883,7254,2.0810,7512.5,0,0
44,1.36067,1.28729,7338,2.0838,7512.5,0,0
45,1.36361,1.29027,7334,2.0789,7512.5,0,0
46,1.36662,1.29429,7232,2.0826,7512.5,0,0
47,1.35512,1.28443,7069,2.0269,7512.5,0,0
48,1.35787,1.27820,7967,2.0276,6085.6,0,0
49,1.35740,1.27771,7969,1.9828,6085.8,0,1
50,1.35582,1.27588,7994,2.0177,6091.5,0,0
51,1.35949,1.27891,8057,2.0647,6126.2,0,0
52,1.35928,1.27964,7964,2.0106,6128.9,0,0
53,1.36041,1.28095,7947,2.0255,6132.6,0,0
54,1.34491,1.27386,7104,2.0012,7512.5,0,0
55,1.33237,1.26385,6852,2.0708,7512.5,0,0
56,1.33896,1.26901,6995,2.0339,7512.5,0,0
57,1.33786,1.26903,6883,2.0034,7512.5,0,0
58,1.33574,1.26827,6747,2.0914,7512.5,0,0
59,1.33767,1.26836,6931,2.0113,7512.5,0,0
