pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1896.5048942263586,0.0,60.0,0.0,0.44560751199605875,0.0,0.0006038150022504851,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1875.8894497089602,0.0,80.0,0.0,0.8117036950061447,0.0,0.0006237039997358806,0.0,0.0,0.0,0.5,0.0,35.91701202855256,0.0,0.011780063258811424,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1934.565659525694,0.0,120.0,0.0,1.4707027319964254,0.0,0.0006619550040340982,0.0,0.0,0.0,0.5,0.0,109.66680965160594,0.0,0.017536816084143148,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1940.3129259881975,0.0,200.0,0.0,2.799121964002552,0.0,0.0007839760000933893,0.0,0.0,0.0,0.5,0.0,127.62280576051307,0.0,0.02382126832825615,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1943.731039689714,0.0,200.0,0.0,5.5880508909976925,0.0,0.0007912159999250434,0.0,0.0,0.0,0.5,0.0,145.91132446496522,0.0,0.0352913720852992,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1944.6915669733164,0.0,300.0,0.0,8.175251048000064,0.0,0.0009448370037716813,0.0,0.0,0.0,0.5,0.0,146.56772835773154,0.0,0.035355284525416586,0.0,0.0,0.0,300.0,0.0
