pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1905.5412629306213,0.0,60.0,0.0,0.44369211699813604,0.0,0.0005981549984426238,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1920.226605475964,0.0,80.0,0.0,0.8142159739945782,0.0,0.0006217839982127771,0.0,0.0,0.0,1.0,0.0,63.028412361256414,0.0,0.019806535110868717,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1936.3431428844929,0.0,120.0,0.0,1.4670650740008568,0.0,0.0006454449976445176,0.0,0.0,0.0,1.0,0.0,140.53757739286993,0.0,0.041972915043126946,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1939.3131133036486,0.0,200.0,0.0,2.7899119239955326,0.0,0.0007921459982753731,0.0,0.0,0.0,1.0,0.0,140.51398453168804,0.0,0.04057959093309371,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1940.8295908608864,0.0,200.0,0.0,5.590767740999581,0.0,0.0007762759996694513,0.0,0.0,0.0,1.0,0.0,143.15968619143678,0.0,0.040142420950594726,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1943.8889698750459,0.0,300.0,0.0,8.1553742899996,0.0,0.0008908870004233904,0.0,0.0,0.0,1.0,0.0,149.81531240632648,0.0,0.04462804499367756,0.0,0.0,0.0,300.0,0.0
