cand,particles,seed,fdh,rel_err,n_tied,keff,wall_s
0,16000,1,1.1433184222906334,0.0104406534428203,3,1.3367510160716896,20.269429683685303
0,16000,2,1.1446579297710489,0.010221826832387508,2,1.33674087047251,18.79840612411499
0,16000,3,1.1474512406749224,0.011166420870779344,2,1.336940555098482,18.844822883605957
0,16000,4,1.130906561752299,0.009740317077738186,6,1.3365189189156765,18.92573094367981
0,16000,5,1.139037238293218,0.012699968998159714,5,1.336380854819907,19.002135753631592
10,16000,1,1.1382118836708601,0.01194433879243272,1,1.3444758876408531,19.429389238357544
10,16000,2,1.1393386689149834,0.010015978236367618,1,1.3458608530611347,20.24307656288147
10,16000,3,1.1415063195225026,0.010689474101419585,1,1.3452986000139424,19.584688663482666
10,16000,4,1.1336624193401557,0.010610282307595273,5,1.3448058877637636,20.007432222366333
10,16000,5,1.1400299816021697,0.009036339117396056,1,1.3453310915308734,19.699657440185547
11,16000,1,1.166660269683626,0.011486088373774378,1,1.3507247233695168,18.936339139938354
11,16000,2,1.1567672694353417,0.009504580952992652,2,1.3506189464424394,18.91956377029419
11,16000,3,1.1650834687593576,0.011209603576933807,1,1.350984358506396,19.10008716583252
11,16000,4,1.141288654546038,0.009903912883037989,6,1.3518728466458134,19.227606773376465
11,16000,5,1.1603301973437676,0.009027847559855742,1,1.3533174310128575,18.96915292739868
12,16000,1,1.1343641597950498,0.010809530808921096,8,1.3432253607660136,19.68329167366028
12,16000,2,1.1385566787468615,0.010882112576199322,7,1.3425878424193998,19.523512601852417
12,16000,3,1.1424242660512456,0.010956904888928186,3,1.3422875108193384,19.15921664237976
12,16000,4,1.157806206127158,0.011442159723477905,1,1.3418072134302634,19.990086317062378
12,16000,5,1.159123773149054,0.010859437569928332,1,1.3434408919304974,19.792882204055786
13,16000,1,1.1583804145942997,0.010999055889698623,2,1.3537466113725716,19.172731161117554
13,16000,2,1.1606041685957855,0.01177644134147457,2,1.3521300650315489,18.71812415122986
13,16000,3,1.154226935166598,0.01033706138800799,5,1.3529637179330871,18.967090606689453
13,16000,4,1.147513264165472,0.011233011469418807,4,1.3543883331295765,18.908823251724243
13,16000,5,1.1504905544144215,0.010772583588983963,6,1.3544637297323212,18.917524814605713
14,16000,1,1.1479281669687662,0.012434532274191865,5,1.3344314625153602,19.228500604629517
14,16000,2,1.1552322191899302,0.011366713460588911,5,1.3371025192006767,18.9199378490448
14,16000,3,1.143229549755878,0.01140295746782729,4,1.3352357094339524,18.945281744003296
14,16000,4,1.1480712893558886,0.012333322998160362,5,1.3357162040656914,19.47216510772705
14,16000,5,1.1424527461379597,0.012720872069632695,9,1.3356723107101967,19.355167150497437
15,16000,1,1.1764516330746055,0.01183661335527607,10,1.3444331464912471,19.121039152145386
15,16000,2,1.2082859389997387,0.0111470532712635,1,1.345645457927869,19.058643102645874
15,16000,3,1.2232547338024908,0.011211960906059573,1,1.344829335747007,19.083374500274658
15,16000,4,1.1902176282702759,0.010820266794512938,2,1.3455997425177209,18.991484880447388
15,16000,5,1.1954505649133016,0.01259392600266019,2,1.3459260484509057,18.931013107299805
16,16000,1,1.1903516800433462,0.010948178710348073,4,1.3459738823901755,18.962940454483032
16,16000,2,1.1890741774459186,0.011618772157049163,4,1.3459883762317129,19.321333169937134
16,16000,3,1.2088683823146753,0.010769934101163895,1,1.3455837433390925,18.899659872055054
16,16000,4,1.1906115594235809,0.01283861185670321,5,1.3461372177376387,18.855509281158447
16,16000,5,1.18843353019565,0.01190851029927105,3,1.345984878104217,18.872179985046387
1,16000,1,1.135244210487872,0.010603596062675016,2,1.3453394437589083,19.348956823349
1,16000,2,1.1407014810890046,0.012041069983725002,3,1.3460609970510224,19.395578145980835
