n = 60 | hv_history = [1287.9896533203305, 1287.9896533203305, 1287.9896533203305, 1287.9896533203305]
pos,e_in,e_out,gd_wt,pitch,refl,pins,efpd,fdh,k_core,bu,feas
0,7.53,3.32,1.10,1.283,6.9,40,2346,1.8420,0.96341,23.4,0
1,9.14,8.79,2.52,1.191,9.0,40,4874,1.6179,1.12033,48.7,1
2,16.63,15.80,5.48,1.237,3.9,20,9445,1.6554,1.32020,94.3,1
3,15.94,6.36,4.88,1.211,10.7,24,4964,2.1229,1.17500,49.6,0
4,12.11,13.84,0.62,1.319,2.4,24,8787,1.6699,1.35131,87.7,0
5,13.92,13.96,3.30,1.255,7.9,20,8674,1.5957,1.31484,86.6,1
6,2.76,14.34,6.36,1.289,6.2,20,6717,2.0927,1.20389,67.1,0
7,11.50,11.94,7.88,1.290,3.5,24,7416,1.6558,1.24281,74.0,1
8,9.76,6.72,1.97,1.338,4.4,32,4811,1.6402,1.14945,48.0,1
9,3.78,16.77,4.39,1.162,11.9,16,6941,1.9782,1.24551,69.3,1
10,9.57,4.00,0.11,1.154,18.3,16,2523,2.1534,1.17377,25.2,0
11,8.48,5.61,6.87,1.181,14.4,16,3271,1.7271,1.11957,32.7,1
12,16.92,10.54,7.09,1.222,12.3,24,7006,1.8399,1.24179,69.9,1
13,6.82,15.18,4.68,1.327,8.5,24,8220,1.8174,1.26890,82.1,1
14,16.13,4.73,7.37,1.168,4.7,32,3396,2.2934,1.04000,33.9,0
15,9.98,11.04,7.67,1.311,4.9,40,6508,1.7321,1.13127,65.0,1
16,12.94,14.91,1.55,1.262,6.1,32,8889,1.6343,1.29920,88.7,1
17,13.36,2.55,3.03,1.303,5.5,32,2594,2.5206,0.96891,25.9,0
18,2.54,15.49,6.48,1.244,13.5,32,6678,2.0530,1.13542,66.7,0
19,2.32,10.18,0.46,1.238,3.1,32,4599,1.9652,1.15679,45.9,1
20,8.03,3.63,4.20,1.225,9.5,24,2369,2.0128,1.01917,23.6,0
21,12.23,16.19,1.80,1.188,2.6,16,8544,1.7085,1.32898,85.3,1
22,4.62,6.15,6.10,1.199,7.1,16,2977,1.6007,1.09753,29.7,1
23,12.18,2.09,6.82,1.194,15.7,40,0,2.6856,0.81708,0.0,0
24,11.14,16.61,2.08,1.182,2.3,24,8356,1.7790,1.29450,83.4,1
25,16.49,15.45,0.48,1.294,6.5,16,10017,1.6326,1.40210,100.0,0
26,7.72,14.46,2.77,1.215,8.6,40,7221,1.7292,1.19134,72.1,1
27,4.69,14.12,5.07,1.245,3.5,32,6639,1.8779,1.16269,66.3,1
28,11.02,5.13,1.19,1.197,11.0,32,3623,1.8735,1.11216,36.2,1
29,2.58,7.61,2.28,1.317,2.6,12,3690,1.9139,1.17553,36.8,1
30,13.35,4.84,0.77,1.187,16.9,32,3787,2.0854,1.13726,37.8,0
31,6.15,11.29,7.73,1.176,3.2,32,5010,1.7856,1.10179,50.0,1
32,14.85,9.14,3.05,1.251,9.1,12,6686,1.9097,1.30433,66.7,1
33,12.53,12.27,5.50,1.158,13.6,40,6203,1.6127,1.15293,61.9,1
34,8.05,5.42,3.36,1.262,5.0,32,3518,1.6403,1.05705,35.1,1
35,4.08,7.35,2.55,1.229,9.7,20,3644,1.6834,1.12877,36.4,1
36,8.90,2.92,5.62,1.217,4.2,20,1861,2.3046,0.99334,18.6,0
37,9.63,8.05,1.50,1.330,3.8,24,5515,1.6423,1.23312,55.1,1
38,6.56,10.22,4.80,1.156,11.3,24,4669,1.7227,1.15594,46.6,1
39,11.69,6.44,4.16,1.311,8.9,40,4755,1.7425,1.08259,47.5,1
40,16.37,14.69,2.40,1.231,8.1,40,9035,1.5741,1.26601,90.2,1
41,4.50,17.02,4.69,1.167,4.7,20,7142,2.0249,1.23056,71.3,0
42,5.22,6.25,0.00,1.150,16.7,40,2932,1.5910,1.23033,29.3,1
43,5.33,6.28,0.00,1.150,15.3,40,2889,1.6026,1.23174,28.8,1
44,5.35,6.31,0.00,1.150,15.6,40,2951,1.6078,1.23198,29.5,1
45,5.41,6.32,0.00,1.154,15.5,40,3051,1.5876,1.23497,30.5,1
46,5.53,6.35,0.00,1.152,4.7,40,2948,1.6506,1.23333,29.4,1
47,5.59,6.35,0.00,1.156,16.3,40,3103,1.6142,1.23900,31.0,1
48,4.42,3.77,0.00,1.380,5.4,12,2011,1.5192,1.18615,20.1,1
49,4.44,3.77,0.00,1.380,5.4,12,2002,1.5291,1.18596,20.0,1
50,4.45,3.83,0.00,1.380,5.4,12,2047,1.5450,1.18899,20.4,1
51,4.45,3.82,0.00,1.380,5.4,12,2053,1.5574,1.18924,20.5,1
52,4.43,3.77,0.00,1.380,5.4,16,2009,1.5441,1.18531,20.1,1
53,4.42,3.75,0.00,1.381,5.3,16,1985,1.5193,1.18478,19.8,1
54,2.44,2.66,0.18,1.390,4.8,40,666,1.6579,0.88943,6.6,0
55,2.63,2.64,0.18,1.390,4.8,40,702,1.6411,0.89426,7.0,0
56,2.91,2.87,0.07,1.390,4.8,40,965,1.5142,0.98829,9.6,0
57,2.95,2.87,0.07,1.390,4.8,40,985,1.5201,0.99017,9.8,0
58,2.99,2.87,0.07,1.387,4.8,40,1019,1.5360,0.99703,10.2,0
59,2.99,2.99,0.01,1.390,4.8,40,1054,1.4041,1.07087,10.5,1
