bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.387594
0.5000,0.5000,1.374376
1.4999,1.4999,1.367147
3.4998,3.4998,1.355264
7.4995,7.4995,1.338108
13.4991,13.4991,1.313707
21.4986,17.4989,1.299614
29.4981,21.4986,1.287114
37.4975,25.4983,1.276321
45.4970,29.4981,1.264317
53.4965,33.4978,1.254551
61.4960,37.4975,1.245233
69.4954,41.4973,1.228464
74.9951,42.9972,1.220386
