bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.162438
0.5000,0.5000,1.144057
1.4999,1.4999,1.144033
3.4998,3.4998,1.144770
7.4995,7.4995,1.147944
13.4991,13.4991,1.128295
21.4986,17.4989,1.107553
29.4981,21.4986,1.077051
37.4975,25.4983,1.050876
