bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.325698
0.5000,0.5000,1.316733
1.4999,1.4999,1.312641
3.4998,3.4998,1.305087
7.4995,7.4995,1.292691
13.4991,13.4991,1.280667
21.4986,17.4989,1.275512
29.4981,21.4986,1.269974
37.4975,25.4983,1.264420
45.4970,29.4981,1.252709
53.4965,33.4978,1.239055
61.4960,37.4975,1.221851
69.4954,41.4973,1.207188
74.9951,42.9972,1.199629
