bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.154645
0.5000,0.5000,1.136117
1.4999,1.4999,1.133029
3.4998,3.4998,1.131589
7.4995,7.4995,1.135299
13.4991,13.4991,1.153656
21.4986,17.4989,1.164708
29.4981,21.4986,1.135583
37.4975,25.4983,1.105364
45.4970,29.4981,1.073431
53.4965,33.4978,1.045059
