bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.268461
0.5000,0.5000,1.254628
1.4999,1.4999,1.256141
3.4998,3.4998,1.261781
7.4995,7.4995,1.276182
13.4991,13.4991,1.272330
21.4986,17.4989,1.256426
29.4981,21.4986,1.232715
37.4975,25.4983,1.205856
45.4970,29.4981,1.183553
53.4965,33.4978,1.159852
61.4960,37.4975,1.137038
69.4954,41.4973,1.114197
74.9951,42.9972,1.104575
