bu_label_MWdkg,bu_true_MWdkg,k_inf
0.0000,0.0000,1.352401
0.5000,0.5000,1.338067
1.4999,1.4999,1.332619
3.4998,3.4998,1.326365
7.4995,7.4995,1.317659
13.4991,13.4991,1.307503
21.4986,17.4989,1.305912
29.4981,21.4986,1.299706
37.4975,25.4983,1.285618
45.4970,29.4981,1.266102
53.4965,33.4978,1.246376
61.4960,37.4975,1.225688
69.4954,41.4973,1.204760
74.9951,42.9972,1.195516
