idx,phase,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,gd_pins,gd_pins_used,F_core,F_asm,k_bol,keff_core,EFPD,g_kmin,g_kmax,g_enr,g_peak,g_geom
34,DOE,6.4781,4.5118,1.3478,1.2371,7.1170,37.6077,40,2.1986,1.2110,1.0870,1.03059,4367,-0.0670,-0.2630,-13.2719,0.1986,-7.0379
35,DOE,4.6282,4.6025,6.9503,1.1955,3.8277,15.4507,16,2.0946,1.1404,1.1284,1.06579,2893,-0.1084,-0.2216,-15.1218,0.0946,-12.8727
36,DOE,3.1064,6.7187,4.6875,1.3348,6.7711,26.4449,24,2.4723,1.3219,1.1546,1.10295,5327,-0.1346,-0.1954,-13.0313,0.4723,-1.3925
37,DOE,9.5851,3.8735,2.4812,1.1540,12.3144,18.7954,20,2.8129,1.5948,1.1624,1.09421,3633,-0.1424,-0.1876,-10.1649,0.8129,-6.9315
38,DOE,13.4198,9.3695,1.0522,1.1687,18.0119,17.6915,16,2.1902,1.2787,1.3640,1.29285,7513,-0.3440,0.0140,-6.3302,0.1902,-0.3319
39,DOE,16.4119,13.8758,7.2961,1.1701,15.1644,29.2285,32,2.0655,1.2036,1.3050,1.23833,7513,-0.2850,-0.0450,-3.3381,0.0655,-3.0975
40,DOE,3.3920,8.1987,3.4004,1.2879,9.2046,20.2624,20,2.4189,1.3669,1.2219,1.16639,6893,-0.2019,-0.1281,-11.5513,0.4189,-1.8336
41,DOE,14.9981,9.0058,2.1245,1.2020,14.7986,23.1384,24,2.3357,1.3621,1.3354,1.26880,7513,-0.3154,-0.0146,-4.7519,0.3357,-1.5040
42,it1,18.0556,16.0264,2.0474,1.1500,2.1486,39.6088,40,2.0528,1.1745,1.3639,1.29052,7513,-0.3439,0.0139,-1.6944,0.0528,-17.3428
43,it1,18.3558,15.6047,2.0468,1.1500,2.1516,39.0118,40,2.0810,1.1722,1.3614,1.28883,7513,-0.3414,0.0114,-1.3942,0.0810,-17.3398
44,it1,18.3567,15.5555,2.0631,1.1500,2.1240,38.8245,40,2.0838,1.1862,1.3607,1.28729,7513,-0.3407,0.0107,-1.3933,0.0838,-17.3670
45,it1,18.4660,15.2613,1.8557,1.1506,2.4875,39.8388,40,2.0789,1.1866,1.3636,1.29027,7513,-0.3436,0.0136,-1.2840,0.0789,-16.9656
46,it1,18.4342,15.3345,1.7657,1.1500,5.7575,39.1924,40,2.0826,1.1869,1.3666,1.29429,7513,-0.3466,0.0166,-1.3158,0.0826,-13.7318
47,it1,18.2291,15.6730,2.3801,1.1501,5.0767,37.9340,40,2.0269,1.1743,1.3551,1.28443,7513,-0.3351,0.0051,-1.5209,0.0269,-14.4082
48,it2,7.1085,7.4158,0.0040,1.1500,2.0023,12.0001,12,2.0276,1.1184,1.3579,1.27820,6086,-0.3379,0.0079,-12.3342,0.0276,-17.4884
49,it2,7.0840,7.3922,0.0005,1.1500,2.0022,12.0463,12,1.9828,1.1068,1.3574,1.27771,6086,-0.3374,0.0074,-12.3578,-0.0172,-17.4888
50,it2,7.1077,7.4526,0.0159,1.1501,2.0014,12.0016,12,2.0177,1.1231,1.3558,1.27588,6092,-0.3358,0.0058,-12.2974,0.0177,-17.4839
51,it2,7.1254,7.5124,0.0056,1.1500,2.0052,12.0266,12,2.0647,1.1155,1.3595,1.27891,6126,-0.3395,0.0095,-12.2376,0.0647,-17.4859
52,it2,7.1270,7.5566,0.0056,1.1500,2.0051,12.0104,12,2.0106,1.1276,1.3593,1.27964,6129,-0.3393,0.0093,-12.1934,0.0106,-17.4860
53,it2,7.1139,7.5825,0.0023,1.1500,2.0044,12.0001,12,2.0255,1.1137,1.3604,1.28095,6133,-0.3404,0.0104,-12.1675,0.0255,-17.4869
54,it3,13.0719,15.0019,1.4232,1.1502,19.4145,39.9991,40,2.0012,1.1697,1.3449,1.27386,7513,-0.3249,-0.0051,-4.7481,0.0012,-0.0660
55,it3,13.0719,15.0018,1.8610,1.1501,19.4145,39.9991,40,2.0708,1.1764,1.3324,1.26385,7513,-0.3124,-0.0176,-4.7482,0.0708,-0.0712
56,it3,13.1989,15.3380,1.7975,1.1513,19.3908,39.9312,40,2.0339,1.1947,1.3390,1.26901,7513,-0.3190,-0.0110,-4.4120,0.0339,-0.0181
57,it3,13.0899,15.1290,1.6754,1.1501,19.4395,39.7284,40,2.0034,1.1691,1.3379,1.26903,7513,-0.3179,-0.0121,-4.6210,0.0034,-0.0450
58,it3,13.1949,15.1293,1.7592,1.1500,19.4723,39.9497,40,2.0914,1.1721,1.3357,1.26827,7513,-0.3157,-0.0143,-4.6207,0.0914,-0.0178
59,it3,13.2814,15.1583,1.7638,1.1501,19.3678,39.9985,40,2.0113,1.1898,1.3377,1.26836,7513,-0.3177,-0.0123,-4.5917,0.0113,-0.1186
