idx,m_C,m_M,m_P,F_zoned,k_zoned,max_enr,leu_ok,share_C,share_M,share_P,dk_pcm,dF,dEFPD_est
58,1.0,1.0,1.0,2.0427396986052884,1.268506977173909,15.12925654475394,True,0.20070450881973234,0.453544243868062,0.3457512473122058,0.0,0.0,nan
58,1.0,0.9333333333333332,1.05,2.034917291990312,1.2625862141773962,15.885719371991637,True,0.19955573500775067,0.43973678164663044,0.36070748334561914,-592.0762996512785,-0.007822406614976352,nan
58,1.0,0.8666666666666666,1.1,2.026449578654752,1.2576830781668114,16.642182199229335,True,0.1994222544295406,0.4268030403534581,0.3737747052170013,-1082.3899007097682,-0.016290119950536308,nan
58,1.0,0.8000000000000002,1.15,2.1276736220013417,1.251389062154754,17.39864502646703,True,0.19855635341965436,0.4123334518885433,0.38911019469180225,-1711.7915019154939,0.08493392339605332,nan
58,0.9,1.0333333333333332,1.0,1.8668881658676335,1.265029716292786,15.12925654475394,True,0.18581136862420927,0.4611731780276982,0.35301545334809253,-347.7260881123101,-0.17585153273765486,nan
58,0.9,0.9666666666666665,1.05,1.8944080105771945,1.260244781312952,15.885719371991637,True,0.1856801769849148,0.44787425889675136,0.36644556411833384,-826.2195860957,-0.14833168802809382,nan
58,0.9,0.8999999999999998,1.1,1.900236934253356,1.2547017917207532,16.642182199229335,True,0.1845497780118969,0.43370823014657595,0.3817419918415271,-1380.5185453155789,-0.14250276435193232,nan
58,0.9,0.8333333333333334,1.15,1.8603326085213345,1.249485227672705,17.39864502646703,True,0.18345577171533758,0.41935087760917406,0.3971933506754884,-1902.1749501203944,-0.18240709008395384,nan
58,0.8,1.0666666666666667,1.0,1.745867171463875,1.2616593928418722,15.12925654475394,True,0.1709696808826538,0.4679555941633719,0.36107472495397425,-684.7584332036805,-0.29687252714141343,nan
58,0.8,1.0,1.05,1.741103353655561,1.2575282158316554,15.885719371991637,True,0.17045491709544827,0.45535383492462533,0.37419124797992637,-1097.8761342253617,-0.30163634494972746,nan
58,0.8,0.9333333333333332,1.1,1.688902725352221,1.2525223294042218,16.642182199229335,True,0.16857041143869056,0.4405385447813764,0.390891043779933,-1598.4647769687222,-0.3538369732530673,nan
58,0.8,0.8666666666666668,1.15,1.6734473323163812,1.2468675946911754,17.39864502646703,True,0.1676509915642327,0.42701127895201707,0.40533772948375035,-2163.938248273367,-0.36929236628890716,nan
58,0.72,1.0933333333333335,1.0,1.7428353273084365,1.259097046895666,15.12925654475394,True,0.15848877626600946,0.47460161422782954,0.36690960950616086,-940.9930278243106,-0.2999043712968519,nan
58,0.72,1.0266666666666666,1.05,1.6884772815673532,1.2550201598272455,15.885719371991637,True,0.1568798824361709,0.46067836089925684,0.38244175666457225,-1348.681734666357,-0.35426241703793515,nan
58,0.72,0.96,1.1,1.670476959648657,1.2507846575710184,16.642182199229335,True,0.15586564065047123,0.4470020822319447,0.397132277117584,-1772.2319602890614,-0.3722627389566313,nan
58,0.72,0.8933333333333335,1.15,1.5612537241772548,1.2451175105023555,17.39864502646703,True,0.15440585304134802,0.43234956389062706,0.4132445830680249,-2338.9466671553505,-0.48148597442803354,nan
58,0.65,1.1166666666666665,1.0,1.7456065812676453,1.256929677921529,15.12925654475394,True,0.14761949760609536,0.47940915576852683,0.37297134662537784,-1157.7299252379935,-0.297133117337643,nan
58,0.65,1.0499999999999998,1.05,1.686008471788926,1.2525264118985213,15.885719371991637,True,0.14544149489174038,0.4654732582606522,0.3890852468476074,-1598.0565275387714,-0.35673122681636227,nan
58,0.65,0.9833333333333331,1.1,1.653419762187729,1.2480610593003052,16.642182199229335,True,0.14540240125110987,0.4519498506129435,0.4026477481359466,-2044.5917873603837,-0.38931993641755946,nan
58,0.65,0.9166666666666666,1.15,1.6116168357143328,1.243089705708894,17.39864502646703,True,0.14351263339482626,0.43731643076570964,0.4191709358394641,-2541.7271465014933,-0.4311228628909556,nan
