particles,batches,inactive,probe,converged_batch,margin,tail_mean,tail_sd,keff,verdict
4000,60,20,thin_reflector,1,20.0,5.976297486402623,0.0029621965086064394,1.3500287410564773,PASS
4000,60,20,thick_reflector,1,20.0,5.977919409327446,0.0034464676215613986,1.3478889271404866,PASS
4000,60,20,high_gadolinium,1,20.0,5.976169610251654,0.0040514962085784695,1.3452004898189787,PASS
16000,120,30,thin_reflector,1,30.0,5.988833600175218,0.001467075415104559,1.3537466113725822,PASS
16000,120,30,thick_reflector,1,30.0,5.990089634127655,0.0013748865066315161,1.3484812515789486,PASS
16000,120,30,high_gadolinium,1,30.0,5.988255927231696,0.0016697057009079043,1.347960076371895,PASS
