case,idx,stage,iteration,t_start,t_last_end,wall_s,solve_s,overhead_s,asm_bol_s,core_bol_s,dep_transport_s,n_dep_solves,n_dep_chunks,n_solves,gap_before_s,gap_kind,runtime_missing,mixed,n_stale_solves,stale_solve_s
case_0014,14,DOE,0,2026-08-14 02:20:08.243506,2026-08-14 04:24:29,7460.756494,6841.515328186998,619.2411658130022,17.756493555,105.35329071199999,6718.405543919998,22,9,24,8.243506,intra,0,False,0,0.0
case_0015,15,DOE,0,2026-08-14 04:24:37.730422,2026-08-14 06:07:27,6169.269578,5558.706989463,610.562588537,16.269578233,88.83062014000001,5453.60679109,22,9,24,8.730422,intra,0,False,0,0.0
case_0016,16,DOE,0,2026-08-14 06:07:35.474551,2026-08-14 08:11:50,7454.525449,6826.282314775999,628.2431342240006,17.525448895,100.51294535,6708.243920530999,22,9,24,8.474551,intra,0,False,0,0.0
case_0017,17,DOE,0,2026-08-14 08:11:58.574084,2026-08-14 10:13:47,7308.425916,6685.331922052,623.0939939480004,17.425916009,99.90062447399998,6568.005381569,22,9,24,8.574084,intra,0,False,0,0.0
case_0018,18,DOE,0,2026-08-14 10:13:55.764140,2026-08-14 12:24:07,7811.23586,7182.834921546999,628.4009384530009,18.235860354,104.66527062700001,7059.933790565999,22,9,24,8.76414,intra,0,False,0,0.0
case_0019,19,DOE,0,2026-08-14 12:24:15.071683,2026-08-14 14:34:39,7823.928317,7194.211641382,629.7166756179995,17.928317436999997,105.50207732999999,7070.781246615001,22,9,24,8.071683,intra,0,False,0,0.0
case_0020,20,DOE,0,2026-08-14 14:34:47.677426,2026-08-14 16:37:13,7345.322574,6709.748142854001,635.5744311459985,17.322573716999997,99.97821745600001,6592.447351681001,22,9,24,8.677426,intra,0,False,0,0.0
case_0021,21,DOE,0,2026-08-14 16:37:22.263300,2026-08-14 18:46:41,7758.7367,7124.334832145999,634.4018678540015,17.736699693,105.49639260299999,7001.101739849999,22,9,24,9.2633,intra,0,False,0,0.0
case_0022,22,DOE,0,2026-08-14 18:46:50.221879,2026-08-14 20:50:30,7419.778121,6783.995619557001,635.7825014429991,17.778121237,102.969858524,6663.247639796001,22,9,24,9.221879,intra,0,False,0,0.0
case_0023,23,DOE,0,2026-08-14 20:50:38.129310,2026-08-14 22:38:34,6475.87069,5842.743366846999,633.1273231530004,16.870690414,94.96907902299999,5730.90359741,22,9,24,8.12931,intra,0,False,0,0.0
case_0024,24,DOE,0,2026-08-14 22:38:43.029810,2026-08-15 00:38:56,7212.97019,6568.525812744,644.4443772559998,17.970189846,102.188664538,6448.36695836,22,9,24,9.02981,intra,0,False,0,0.0
case_0025,25,DOE,0,2026-08-15 00:39:05.568908,2026-08-15 02:46:06,7620.431092,6962.552242058001,657.8788499419989,18.431091553999998,110.228013842,6833.893136662001,22,9,24,9.568908,intra,0,False,0,0.0
case_0026,26,DOE,0,2026-08-15 02:46:15.057753,2026-08-15 04:39:34,6798.942247,6143.591290634,655.350956366,17.942246904,101.726427535,6023.922616195,22,9,24,9.057753,intra,0,False,0,0.0
case_0027,27,DOE,0,2026-08-15 04:39:43.274802,2026-08-15 05:52:09,4345.725198,3967.9641093299997,377.7610886700004,18.725197883,108.588325625,3840.650585822,14,5,16,9.274802,intra,0,False,0,0.0
case_0028,28,DOE,0,2026-08-15 05:52:15.102666,2026-08-15 07:36:31,6255.897334,5597.536577815,658.3607561850004,15.897333896000001,87.80163461699999,5493.837609302,22,9,24,6.102666,intra,0,False,0,0.0
case_0029,29,DOE,0,2026-08-15 07:36:39.335157,2026-08-15 09:33:08,6988.664843,6331.428427524001,657.2364154759989,16.664842754,96.74384818,6218.01973659,22,9,24,8.335157,intra,0,False,0,0.0
case_0030,30,DOE,0,2026-08-15 09:33:17.464359,2026-08-15 11:29:34,6976.535641,6458.699972969,517.8356680310008,18.535640762,113.94743095300001,6326.216901254,18,7,20,9.464359,intra,0,False,0,0.0
case_0031,31,DOE,0,2026-08-15 11:29:41.267161,2026-08-15 13:23:32,6830.732839,6165.648750656,665.0840883440005,16.732838702000002,93.62290944800002,6055.2930025059995,22,9,24,7.267161,intra,0,False,0,0.0
case_0032,32,DOE,0,2026-08-15 13:23:40.545606,2026-08-15 15:29:37,7556.454394,6880.973585022001,675.480808977999,17.454393699,98.845497001,6764.673694322001,22,9,24,8.545606,intra,0,False,0,0.0
case_0033,33,DOE,0,2026-08-15 15:29:46.312239,2026-08-15 16:34:12,3865.687761,3620.1803874449993,245.50737355500087,19.687760563,116.72148131900002,3483.771145562999,10,3,12,9.312239,intra,0,False,0,0.0
case_0034,34,DOE,0,2026-08-15 16:34:16.849649,2026-08-15 17:45:06,4249.150351,3930.210860032,318.9394909680004,18.150351483,109.930603476,3802.129905073,12,4,14,4.849649,intra,0,False,0,0.0
case_0035,35,DOE,0,2026-08-15 17:45:11.528072,2026-08-15 19:48:05,7373.471928,6701.249245093001,672.2226829069987,17.471928022,103.93055699199999,6579.846760079001,22,9,24,5.528072,intra,0,False,0,0.0
case_0036,36,infill,1,2026-08-19 00:30:22.643232,2026-08-19 02:41:41,7878.356768,7311.474942662,566.8818253379995,26.356767695000002,111.45750105799999,7173.660673909,22,9,24,276137.643232,session_break,0,False,0,0.0
case_0037,37,infill,1,2026-08-19 02:41:50.177169,2026-08-19 04:48:40,7609.822831,7082.000073511999,527.8227574880011,18.82283139,115.39857215100001,6947.7786699709995,22,9,24,9.177169,intra,0,False,0,0.0
case_0038,38,infill,1,2026-08-19 04:48:48.596323,2026-08-19 06:56:20,7651.403677,7104.8081035959995,546.5955734040008,17.403676517,104.02255171000002,6983.381875368999,22,9,24,8.596323,intra,0,False,0,0.0
case_0039,39,infill,1,2026-08-19 06:56:28.514819,2026-08-19 09:04:02,7653.485181,7098.840492003,554.6446889970002,17.485181351999998,102.600639308,6978.754671343,22,9,24,8.514819,intra,0,False,0,0.0
case_0040,40,infill,1,2026-08-19 09:04:10.192603,2026-08-19 11:12:07,7676.807397,7110.8401432010005,565.9672537989991,17.807396736999998,104.814856586,6988.217889878,22,9,24,8.192603,intra,0,False,0,0.0
case_0041,41,infill,1,2026-08-19 11:12:16.565060,2026-08-19 13:20:18,7681.43494,7117.958777603999,563.4761623960012,17.434940265,104.594622711,6995.929214627999,22,9,24,9.56506,intra,0,False,0,0.0
case_0042,42,infill,2,2026-08-19 13:20:29.484585,2026-08-19 15:28:22,7672.515415,7103.686334992001,568.8290800079985,17.515415359000002,105.33787953299999,6980.833040100001,22,9,24,11.484585,optimiser,0,False,0,0.0
case_0043,43,infill,2,2026-08-19 15:28:30.275131,2026-08-19 17:37:40,7749.724869,7167.925307007,581.7995619929998,17.724869083,106.088760887,7044.111677037,22,9,24,8.275131,intra,0,False,0,0.0
case_0044,44,infill,2,2026-08-19 17:37:49.247092,2026-08-19 19:47:36,7786.752908,7203.278738023,583.4741699770002,17.752907612,108.792131912,7076.733698499001,22,9,24,9.247092,intra,0,False,0,0.0
case_0045,45,infill,2,2026-08-19 19:47:45.189567,2026-08-19 21:57:45,7799.810433,7208.750526433001,591.0599065669985,17.810432758,108.14500185,7082.795091825001,22,9,24,9.189567,intra,0,False,0,0.0
case_0046,46,infill,2,2026-08-19 21:57:54.079043,2026-08-20 00:10:02,7927.920957,7326.597207246,601.3237497540003,17.920956772,108.84437327799999,7199.831877196,22,9,24,9.079043,intra,0,False,0,0.0
case_0047,47,infill,2,2026-08-20 00:10:10.908949,2026-08-20 02:24:27,8056.091051,7444.029354883999,612.0616961160013,20.091051028,120.07407768499999,7303.864226170999,22,9,24,8.908949,intra,0,False,0,0.0
case_0048,48,infill,3,2026-08-20 02:24:39.355865,2026-08-20 04:37:55,7995.644135,7395.1467864649985,600.497348535001,19.644135004,118.89345837399999,7256.609193086999,22,9,24,12.355865,optimiser,0,False,0,0.0
case_0049,49,infill,3,2026-08-20 04:38:04.365267,2026-08-20 06:52:53,8088.634733,7476.1836270779995,612.4511059220004,19.634732710999998,118.928758434,7337.620135933,22,9,24,9.365267,intra,0,False,0,0.0
case_0050,50,infill,3,2026-08-20 06:53:02.390501,2026-08-20 09:07:29,8066.609499,7445.734076456999,620.8754225430012,19.609498984,119.425830441,7306.698747031999,22,9,24,9.390501,intra,0,False,0,0.0
case_0051,51,infill,3,2026-08-20 09:07:38.097700,2026-08-20 11:22:04,8065.9023,7445.908616692,619.9936833080001,19.902299652,116.17912205300001,7309.8271949869995,22,9,24,9.0977,intra,0,False,0,0.0
case_0052,52,infill,3,2026-08-20 11:22:12.547225,2026-08-20 13:35:28,7995.452775,7379.500191511001,615.9525834889992,19.452775457,119.440441366,7240.606974688,22,9,24,8.547225,intra,0,False,0,0.0
case_0053,53,infill,3,2026-08-20 13:35:37.042248,2026-08-20 15:46:26,7848.957752,7238.130133893001,610.8276181069996,17.957752442,106.328346079,7113.844035372001,22,9,24,9.042248,intra,0,False,0,0.0
