case,idx,stage,iteration,t_start,t_last_end,wall_s,solve_s,overhead_s,asm_bol_s,core_bol_s,dep_transport_s,n_dep_solves,n_dep_chunks,n_solves,gap_before_s,gap_kind,runtime_missing,mixed,n_stale_solves,stale_solve_s
case_0000,0,DOE,0,2026-08-12 23:56:04.010524,2026-08-13 01:56:46,7241.989476,6720.201023200001,521.7884527999986,16.989476489,96.30994515600001,6606.901601555001,22,9,24,0.0,start,0,False,0,0.0
case_0001,1,DOE,0,2026-08-13 01:56:54.697639,2026-08-13 03:43:59,6424.302361,5873.955602239998,550.3467587600016,16.302360907999997,91.42775240799999,5766.2254889239985,22,9,24,8.697639,intra,0,False,0,0.0
case_0002,2,DOE,0,2026-08-13 03:44:07.967410,2026-08-13 05:24:45,6037.03259,5472.781944276999,564.2506457230011,16.032589665,87.850933499,5368.898421112999,22,9,24,8.96741,intra,0,False,0,0.0
case_0003,3,DOE,0,2026-08-13 05:24:53.515310,2026-08-13 07:26:47,7313.48469,6741.236483325,572.2482066749999,17.484690032,99.49523833399999,6624.256554959,22,9,24,8.51531,intra,0,False,0,0.0
case_0004,4,DOE,0,2026-08-13 07:26:55.499478,2026-08-13 09:31:49,7493.500522,6916.910211340998,576.5903106590022,17.500521671999998,102.17667909299999,6797.233010575998,22,9,24,8.499478,intra,0,False,0,0.0
case_0005,5,DOE,0,2026-08-13 09:31:58.550166,2026-08-13 11:12:30,6031.449834,5452.272904722,579.176929278,15.449834335,86.431043387,5350.392027,22,9,24,9.550166,intra,0,False,0,0.0
case_0006,6,DOE,0,2026-08-13 11:12:38.894678,2026-08-13 13:17:25,7486.105322,6900.459939834001,585.6453821659998,17.105322080999997,101.523599642,6781.831018111001,22,9,24,8.894678,intra,0,False,0,0.0
case_0007,7,DOE,0,2026-08-13 13:17:32.933789,2026-08-13 15:28:33,7860.066211,7271.669034837999,588.3971761620014,18.066211078,105.51149532299999,7148.091328436999,22,9,24,7.933789,intra,0,False,0,0.0
case_0008,8,DOE,0,2026-08-13 15:28:41.870404,2026-08-13 17:24:32,6950.129596,6349.075171455001,601.0544245449992,17.129595639,96.597095254,6235.348480562001,22,9,24,8.870404,intra,0,False,0,0.0
case_0009,9,DOE,0,2026-08-13 17:24:40.639575,2026-08-13 18:46:31,4910.360425,4565.757577124,344.60284787599994,18.360424706,109.57029347,4437.826858948,14,5,16,8.639575,intra,0,False,0,0.0
case_0010,10,DOE,0,2026-08-13 18:46:36.961422,2026-08-13 20:45:55,7158.038578,6546.434719310999,611.6038586890008,18.038578252999997,103.128546984,6425.267594073999,22,9,24,5.961422,intra,0,False,0,0.0
case_0011,11,DOE,0,2026-08-13 20:46:03.307101,2026-08-13 22:27:15,6071.692899,5468.319787471999,603.3731115280007,15.692898582999998,87.99028941099999,5364.636599477999,22,9,24,8.307101,intra,0,False,0,0.0
case_0012,12,DOE,0,2026-08-13 22:27:24.126397,2026-08-14 00:27:21,7196.873603,6583.578599146001,613.2950038539993,16.873602923,97.664875759,6469.040120464001,22,9,24,9.126397,intra,0,False,0,0.0
case_0013,13,DOE,0,2026-08-14 00:27:29.944718,2026-08-14 02:20:00,6750.055282,6133.899809753001,616.1554722469991,17.055282493,98.94856981299999,6017.895957447001,22,9,24,8.944718,intra,0,False,0,0.0
