idx,t_solve,wall_min,n_solves,n_dep_solves,censored,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick
2,256.90547040499996,107.60554245,23,22,1,7.914934952144821,16.135608629415543,0.5637703300475244,1.2619048486686704,8.808839184524441
3,268.1591236951739,112.14268903333333,23,22,1,12.527581774344647,12.86290679453209,5.8586775101622175,1.2441334022872415,9.63556528678738
4,261.0794348503044,109.54624063333334,23,22,1,9.433791754765526,11.350526975028233,3.3013857596092016,1.2742351745022469,5.275125045055358
5,310.10520265530766,71.53825476666665,13,12,0,11.010849350956933,2.797929146857607,6.883546660019074,1.1733082111516686,10.238361603853415
6,292.12019061813044,121.60128068333333,23,22,1,13.076523995468078,6.439821502346854,7.894863583336701,1.219726504939161,3.4835841711091358
7,238.2935087083044,101.13569009999999,23,22,1,14.530278139062476,12.837357511555943,7.762912442821679,1.3349406629545018,4.552970557511474
8,280.8349483776521,117.29856593333334,23,22,1,2.2482178924590794,11.789670541183147,3.473417004518355,1.2340537885939202,12.282672427128837
9,305.21707451980006,81.92676528333332,15,14,0,10.11257074100792,3.8652597918080778,3.9903686918619012,1.1857145336990427,11.129059257951523
10,271.53136777126093,113.91002523333333,23,22,1,16.493329263770356,8.22124624209883,4.465411538685641,1.2431095793273024,5.656910965748413
11,253.65932648934776,106.9681587,23,22,1,6.9256305314113575,7.873387598666274,1.845994138680385,1.3181013451799894,7.021766017830005
12,278.3901115572174,116.63281993333334,23,22,1,5.34557441852221,17.509545740111186,6.5665002695409465,1.2006310019668824,15.703868653637285
13,308.459227416087,128.2641219,23,22,1,16.121869777336926,5.236186944350665,7.516282252612978,1.178123154147434,17.716764959352524
14,270.575204845087,113.80977368333333,23,22,1,17.68262651799789,15.745324991726632,6.1812769017901354,1.2110709670481858,6.605371624859101
15,306.12599343621736,127.51241143333333,23,22,1,8.926596048176702,13.798919115476117,2.7832318345476317,1.155575265889833,8.211866480638703
16,287.7806343577827,120.53917305,23,22,1,19.230835406980084,6.29546114658502,6.901799611828245,1.223894298194948,12.150681543689782
17,231.63380130352178,99.11663171666667,23,22,1,4.7794882185773115,10.126149964145789,1.3278415884413035,1.4048083017141535,2.5819657708744908
18,258.1549237181818,51.07854033333333,11,10,0,4.078903738134114,4.0141922876763365,5.089211811709117,1.312015436893186,3.0483478506027817
19,246.85948589730438,104.98990136666666,23,22,1,18.716075627996872,12.233274074216409,4.771171988145177,1.296392635597641,2.2575619014342534
20,291.44248086995657,122.33339336666667,23,22,1,13.727765082488268,14.27874494646549,4.013449058391114,1.1901968034919297,16.617629030381778
21,219.46682967621737,94.86721795,23,22,1,18.544195676122204,17.584879450310574,6.147585540739584,1.385645689296398,2.6308776735559243
22,286.1069845447826,120.2331552,23,22,1,11.213843107591945,13.066634135147845,4.7070222938821376,1.2137166082663682,13.5892929305625
23,272.2639853138571,104.65147528333334,21,20,0,9.302123959215466,5.461906717753072,5.796004599144606,1.2836934302830454,9.69251303382482
24,271.2332257845217,114.56965015,23,22,1,6.322021012984445,8.806580671294132,0.25520356132506566,1.2776875297982235,5.3197795531736425
25,256.8314126864348,109.13707338333333,23,22,1,14.773099751640009,19.031089090943357,1.6047879616689846,1.2496500788736455,7.298888879089434
26,275.4245061431739,116.36094918333333,23,22,1,8.176014887384303,13.842442919429535,4.145951414569183,1.2295529872737203,6.3745900255070165
27,241.72922504000005,94.17407628333333,21,20,0,9.525219790657633,4.912848241337581,0.8485202703761091,1.3957936413713576,3.116370535689213
28,307.7598222354783,128.73643675,23,22,1,19.125073046448144,10.224208312110477,7.8960678325626645,1.154724560581082,18.523623257885188
29,309.753219545826,129.70883861666667,23,22,1,3.173272239638006,11.029861763071303,7.44552863235763,1.1881488323869873,5.568075331682114
30,313.655231352913,131.07646183333333,23,22,1,13.755677333502971,6.6377758340505775,2.6134357176001166,1.1737065110952754,11.521933049329782
31,241.9765490123043,103.66637318333332,23,22,1,5.829875084642035,14.40396931499793,5.239825163046215,1.3470998309090452,4.303711507447948
32,305.4313429905714,37.43353355,7,6,0,4.1919160388433,2.0458866153809967,6.959470717104503,1.1606165670826065,10.91322243777944
33,273.1954479576087,115.8490983,23,22,1,12.603841398619942,17.257877456643328,3.3655239704557487,1.2216244871074577,10.606194861960097
34,284.1265727298261,120.00995293333334,23,22,1,18.06965091263485,4.0779813457460925,0.03323758354930358,1.254849716371829,13.022041781650826
35,318.1105086241052,109.59853046666667,19,18,0,16.697418656885354,3.7659714319975217,4.488140125849681,1.1687241216955544,10.256860244179787
36,246.24064559059997,66.7124043,15,14,0,2.0203613498297535,6.60296380936045,6.756354187156315,1.3929546903304801,3.863728809480719
37,243.37239844670592,75.29981243333333,17,16,0,2.176917663055907,6.665566519021102,5.822804157103606,1.378295394240189,3.9754214758783637
38,239.36883629676464,74.16748295000001,17,16,0,2.183935258413247,7.222823785911603,1.8708754700817067,1.3923105921882315,3.9591196968193456
39,242.06406765333332,65.8845243,15,14,0,2.0136495358501234,6.175364307250003,7.3872855390180865,1.3824369268630712,4.76567750946659
40,240.10494647266663,65.58470655,15,14,0,2.0203613498297535,6.062728460355338,6.475275747939808,1.3929546903304801,3.863728809480719
41,247.05776160826665,67.25387463333333,15,14,0,2.0203613498297535,6.062728460355338,6.475275747939808,1.3768331050113092,3.863728809480719
42,283.87845223804345,118.4930553,23,22,1,9.703074358030385,9.05826485776549,6.965259981922692,1.2267176559699655,14.76013107812001
43,285.6593711975217,119.29186195000001,23,22,1,9.703074358030385,9.038683290753223,6.691102448931328,1.2267176559699655,14.75916257374941
44,283.57978677808705,118.5076881,23,22,1,9.702780230805862,8.80411719505778,6.096592580140261,1.2272018992179414,14.748998055993919
45,282.37532593256526,118.00284216666667,23,22,1,9.498091229695637,9.038683290753223,6.691102448931328,1.2267176559699655,14.766891314405747
46,291.7489936874783,121.7425506,23,22,1,9.447608337137014,9.678040075360531,6.171151593359719,1.2017219016641647,15.91940134565591
