idx,t_solve,wall_min,n_solves,n_dep_solves,censored,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick
0,280.00837596666673,120.6998246,24,22,1,17.57574125753879,4.437083515847105,7.358359232842283,1.2554153949726516,6.689134230892935
1,244.74815009333327,107.07170601666667,24,22,1,9.555214733820712,10.829086902994511,7.167965858540468,1.3000772806818053,9.886634222112594
2,228.03258101154162,100.61720983333333,24,22,1,5.791953046499268,19.546592487213275,5.310585870502811,1.323853066682942,6.1345377782768145
3,280.88485347187503,121.8914115,24,22,1,12.568439477348303,7.3155797271947325,6.126172844249008,1.2129678562616035,2.737497273179067
4,288.2045921392083,124.89167536666668,24,22,1,7.880681081125889,14.78822896706122,2.2366363587011997,1.1723338384631756,15.749500208850241
5,227.17803769675,100.5241639,24,22,1,16.319320754678003,18.715217323533146,6.545160383652124,1.3116054421825174,8.776611738750022
6,287.51916415975,124.76842203333334,24,22,1,12.280668711694913,11.50340940777328,1.8065351055583097,1.1807059669625615,15.394914757481104
7,302.98620978491664,131.00110351666666,24,22,1,2.918829236291125,15.501355814507814,5.393559440290349,1.1503859969122128,4.803292599875496
8,264.544798810625,115.83549326666666,24,22,1,6.956034702439786,8.90862675544927,2.0268494972268245,1.26837286649391,3.0569221615464874
9,285.35984857025,81.83934041666666,16,14,0,11.34522071444751,3.3121910123483413,0.7509399573786927,1.2088272615834261,7.9388487336556235
10,272.76811330462493,119.30064296666666,24,22,1,14.409469345605789,6.384984443046103,3.645303670962209,1.2501415277199208,12.54628159060053
11,227.8466578113333,101.19488165,24,22,1,9.908689837081578,16.36281893580705,3.870639527790919,1.3409469206691151,3.7439753950587464
12,274.3157749644167,119.94789338333334,24,22,1,10.727542571244074,18.214984588043965,3.1310292281561023,1.2021546647924668,10.431426133940903
13,255.5791587397084,112.50092136666667,24,22,1,15.876198934610182,13.046579542908235,4.173101883350688,1.2642671970001405,5.291421012605383
14,285.06313867445823,124.34594156666667,24,22,0,13.119019248915308,4.839804471141312,0.49263745036003154,1.2305309232576145,13.244044233882658
15,231.61279122762502,102.82115963333334,24,22,1,4.130325417282412,19.078698607320582,7.6092242138102755,1.336166683303997,5.6529526958127505
16,284.4284297823333,124.24209081666666,24,22,1,18.895868484434395,11.101479548848008,2.526379936108355,1.18772986679052,14.315340054690978
17,278.5554967521667,121.8070986,24,22,1,6.850020299378449,12.431407564396938,1.1927833484678916,1.2237884929700218,12.987906207624494
18,299.2847883977916,130.18726433333333,24,22,0,4.4802916971480755,9.447328879042225,1.7657594235563474,1.1899911975593809,2.074942828503601
19,299.7588183909167,130.39880528333333,24,22,1,6.245999375395952,14.141437125699383,6.3322073430349715,1.1648527687160433,11.568543018102222
