idx,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,gd_pins,F_asm,F_uniform,F_zoned,dF,k_core_uniform,k_core_zoned,dk_pcm,share_C,share_M,share_P,max_enr_zoned,leu_screen_ok,leu20_ok,seeds
0,8.075602119608604,11.090736172699179,7.346318562841539,1.1689105496984442,12.9521352646617,28.8758426658683,1.2406682301298377,2.2278579056283494,1.850515847317071,-0.3773420583112783,1.1477523525905358,1.1353517354759564,-1240.0617114579404,0.17688899945374822,0.4480522943274149,0.37505870621883697,11.922541385651616,True,True,1
1,7.017897926633005,3.0848595356100166,6.175111943880818,1.2195925289920093,15.035255774282495,24.465185265877388,1.582227374324482,2.854990692791277,2.302179343197092,-0.5528113495941853,0.9871001246178827,0.9710232481038784,-1607.6876514004246,0.1726656951672332,0.4533029770915332,0.3740313277412336,7.544240271130479,True,True,1
2,14.383344538585964,3.9914815508328965,1.299430740688929,1.1614156490518617,11.720472564905334,32.04877463361353,1.7275410067319261,3.0292735406096014,2.5825180221900355,-0.44675551841956596,1.1101891476415655,1.0964114818765858,-1377.766576497974,0.17643434731152924,0.4508099456013645,0.3727557070871062,15.46209537897991,True,True,1
3,13.7113092610178,2.290622256336342,4.134597273831192,1.179930240011954,9.993639609384706,20.738169963465335,2.217792693741579,3.9374806608321427,3.2810293612741948,-0.6564512995579479,1.0302827274148392,1.0150181196481396,-1526.4607766699578,0.1759108282250122,0.45347325920305304,0.3706159125719346,14.739657455594134,True,True,1
4,19.09358530220196,10.630819218648988,7.47864492745221,1.2886302682260822,5.510946926265503,14.361539165103146,1.359602041978356,2.4347643641328567,2.1425030302447357,-0.29226133388812103,1.3270831893657087,1.3164076236014757,-1067.5565764233008,0.18732029013906815,0.45663817757170766,0.35604153228922414,20.525604199867104,False,False,1
5,11.390806913981676,19.301096896243934,7.657833176135093,1.2448506226435714,4.829381482305863,13.524587132290947,1.2644907444659241,2.2324939923266784,2.0469243501439913,-0.18556964218268712,1.3761954535676406,1.3681326167823264,-806.2836785314165,0.1887379978306983,0.454871514705661,0.3563904874636406,20.748679163462228,False,False,1
6,18.696171769919836,8.461284515344971,3.4098350209819857,1.3083463873729022,2.8256751610797792,29.372019583969937,1.4140336908555136,2.633444222125545,2.188102057650554,-0.4453421644749911,1.2490088375623263,1.2342946320560424,-1471.4205506283884,0.18428131883731103,0.4592811063511986,0.3564375748114903,20.098384652663825,False,False,1
7,8.775287796587694,9.127557803300526,1.7151803133035246,1.2157964415210936,13.387753977058683,32.883479196790844,1.161643675369102,2.0488854091476276,1.731004392654236,-0.3178810164933916,1.2054469121302729,1.1922413151538518,-1320.5596976421098,0.17839667870695702,0.4508145308003034,0.3707887904927396,9.812124638548065,True,True,1
8,3.56698371961122,19.33203687612112,5.6223716365041225,1.1746456320677163,17.274618092324523,21.89336500529237,1.5423392702017091,2.650283303340262,2.318597337851447,-0.33168596548881535,1.258995888202746,1.2483789130515734,-1061.6975151172658,0.17906554932822114,0.44556501764792455,0.3753694330238544,20.781939641830203,False,False,1
9,7.345149868052045,13.566984238545016,3.761649461441303,1.2708148853707408,5.220038640269184,18.974981266906354,1.2884836133924003,2.3209396374831304,2.000918591167884,-0.3200210463152464,1.291257820087997,1.2797537703867603,-1150.404970123664,0.18547485258573393,0.45592410261199084,0.3586010448022753,14.584508056435892,True,True,1
