case,enrich_inner,enrich_outer,gd_wt,pitch,refl_thick,k_target,EFPD,F_dh,k_bol
0,9.96,9.96,0.51,1.26,4.1,1.0828,5780.0,1.166,1.3991
1,11.03,11.03,7.43,1.26,3.9,1.0829,5782.0,1.358,1.2139
2,10.87,10.87,5.79,1.26,3.1,1.0834,6061.0,1.248,1.3074
3,6.76,6.76,4.87,1.26,5.2,1.0822,3598.0,1.173,1.2888
4,13.61,13.61,4.23,1.26,2.1,1.0839,7676.0,1.219,1.3902
5,13.26,13.26,6.17,1.26,3.3,1.0833,7545.0,1.184,1.3924
6,9.45,9.45,1.44,1.26,3.8,1.083,5321.0,1.242,1.2693
7,12.24,12.24,5.43,1.26,3.7,1.083,6659.0,1.3,1.26
8,10.27,10.27,6.46,1.26,4.4,1.0827,5672.0,1.254,1.2954
9,5.59,5.59,6.34,1.26,3.6,1.0831,2654.0,1.287,1.0852
10,11.22,11.22,0.79,1.26,3.0,1.0834,6492.0,1.208,1.4098
11,8.82,8.82,4.2,1.26,4.5,1.0826,4835.0,1.233,1.2338
12,4.81,4.81,7.06,1.26,2.5,1.0837,598.0,1.217,1.1158
13,5.14,5.14,5.25,1.26,3.2,1.0833,2383.0,1.242,1.1299
14,8.73,8.73,2.42,1.26,2.9,1.0835,4886.0,1.193,1.3092
15,6.23,6.23,0.4,1.26,5.4,1.0821,3286.0,1.179,1.2749
16,3.18,3.18,7.88,1.26,4.3,1.0827,0.0,1.184,1.0196
17,3.53,3.53,3.97,1.26,5.6,1.082,0.0,1.348,0.912
18,9.18,9.18,4.48,1.26,2.6,1.0836,5058.0,1.247,1.2879
19,7.39,7.39,3.17,1.26,3.8,1.083,3968.0,1.223,1.1952
20,12.81,12.81,7.59,1.26,3.4,1.0832,7135.0,1.212,1.3573
21,7.81,7.81,3.11,1.26,4.9,1.0824,4221.0,1.245,1.2104
22,7.21,7.21,6.71,1.26,5.3,1.0822,3684.0,1.259,1.1482
23,4.94,4.94,2.8,1.26,4.8,1.0824,2346.0,1.172,1.2211
24,11.99,11.99,2.53,1.26,3.3,1.0832,6832.0,1.234,1.3244
25,13.82,13.82,1.19,1.26,2.3,1.0838,7976.0,1.2,1.3896
26,12.52,12.52,3.65,1.26,2.8,1.0835,7020.0,1.245,1.3236
27,4.03,4.03,1.65,1.26,5.1,1.0823,1638.0,1.212,1.0416
28,8.14,8.14,1.92,1.26,2.4,1.0837,4547.0,1.182,1.3507
29,5.9,5.9,0.18,1.26,4.7,1.0825,3070.0,1.182,1.2506
30,3.69,3.69,5.76,1.26,2.6,1.0836,0.0,1.34,0.9609
31,6.59,6.59,3.38,1.26,4.2,1.0828,3381.0,1.253,1.1218
32,10.56,10.56,5.07,1.26,4.6,1.0826,6009.0,1.2,1.3556
33,8.26,8.26,2.22,1.26,5.5,1.0821,4692.0,1.196,1.3038
34,4.43,4.43,7.23,1.26,2.2,1.0838,0.0,1.213,1.0723
35,11.67,11.67,1.08,1.26,5.0,1.0823,6765.0,1.225,1.3882
36,5.96,5.96,8.0,1.26,5.0,1.0823,3042.0,1.213,1.245
37,10.78,10.78,8.0,1.26,5.7,1.082,5650.0,1.271,1.2003
38,8.88,8.88,8.0,1.26,5.7,1.082,4841.0,1.278,1.2524
39,7.8,7.8,8.0,1.26,5.5,1.0821,4161.0,1.225,1.2435
40,5.49,5.49,8.0,1.26,4.5,1.0826,2705.0,1.201,1.2208
41,9.86,9.86,8.0,1.26,5.7,1.082,5236.0,1.254,1.2263
42,4.44,4.44,2.88,1.26,3.8,1.083,1968.0,1.2,1.1898
43,6.25,6.25,0.29,1.26,3.5,1.0832,3317.0,1.198,1.2589
44,9.23,9.23,3.2,1.26,5.3,1.0822,5019.0,1.268,1.2204
45,11.43,11.43,6.78,1.26,3.0,1.0834,6103.0,1.28,1.232
46,9.74,9.74,3.39,1.26,3.2,1.0833,5323.0,1.256,1.2285
47,4.39,4.39,2.88,1.26,4.3,1.0827,1941.0,1.199,1.1879
48,7.66,7.66,1.55,1.26,5.7,1.082,4231.0,1.255,1.2405
49,10.79,10.79,5.62,1.26,5.5,1.0821,5892.0,1.263,1.2295
50,8.65,8.65,2.83,1.26,5.6,1.082,4787.0,1.218,1.2453
51,6.36,6.36,0.33,1.26,5.6,1.082,3395.0,1.185,1.2599
52,9.68,9.68,3.04,1.26,5.7,1.082,5379.0,1.259,1.2331
53,3.45,3.45,2.92,1.26,4.7,1.0825,1142.0,1.174,1.1101
54,7.38,7.38,3.12,1.26,3.7,1.0831,3977.0,1.246,1.2491
55,11.7,11.7,8.0,1.26,2.1,1.0839,6169.0,1.278,1.2238
56,8.02,8.02,3.28,1.26,3.8,1.083,4373.0,1.254,1.2195
57,8.32,8.32,3.32,1.26,4.3,1.0827,4508.0,1.252,1.2287
58,8.61,8.61,3.57,1.26,5.1,1.0823,4729.0,1.267,1.2366
59,9.34,9.34,4.32,1.26,5.7,1.082,5104.0,1.283,1.1995
