idx,asm_rank,core_rank,fdh_asm,fdh_core,fdh_core_sem,resolved,EFPD,refl_thick,pitch,ratio
46,4,1,1.1397375748232474,2.0186417112384394,0.007042935661038561,1,7512.505297836232,15.91940134565591,1.2017219016641647,1.7711460566275479
43,9,2,1.1545344896331307,2.0356133756306525,0.007123459617245604,1,7512.505297836232,14.75916257374941,1.2267176559699655,1.763146440326349
45,8,3,1.152222836434353,2.0283069239475227,0.004219845141201866,1,7512.505297836232,14.766891314405747,1.2267176559699655,1.7603425828846466
47,14,4,1.1872683819118965,2.042997668552867,0.007621478848732531,1,7512.505297836232,14.843017831878248,1.2254280229366379,1.7207547170278064
42,11,5,1.1650087653654213,2.02667331813793,0.009010372252805538,1,7512.505297836232,14.76013107812001,1.2267176559699655,1.739620660709995
44,12,6,1.1694044771010137,2.0494678746820805,0.01775609046149349,1,7512.505297836232,14.748998055993919,1.2272018992179414,1.7525739936987146
53,6,7,1.1444835208892414,2.1224522244678,0.005443718872671442,0,5901.750614824764,3.459369912205878,1.3801226386278662,1.8545065837371741
11,13,8,1.1814652538799817,2.1271266498033516,0.01233802028781377,0,7512.505297836232,7.021766017830005,1.3181013451799894,1.8004140560357387
18,2,9,1.1270249317095133,2.130062366854021,0.01881779274369975,0,2903.7066451213104,3.0483478506027817,1.312015436893186,1.8899869088282397
52,5,10,1.142648541752756,2.137882193900725,0.006109395202893929,0,5923.572133849214,4.794460384131693,1.3888644143271487,1.870988423633166
51,1,11,1.126554663183061,2.142519938292472,0.007129329160587351,0,5180.142223238443,2.062182545660378,1.4097540774186483,1.9018339795770036
49,3,12,1.1336264995008913,2.145955074477466,0.014311332803427156,0,5239.122516187261,2.0862750795638387,1.4097540774186483,1.8930000978472878
50,7,13,1.1482620838071949,2.155900595941327,0.01176973153123382,0,5358.107715496077,3.020576726353946,1.393344496720172,1.8775335581866386
48,10,14,1.1562837223030442,2.181353865251184,0.01390278589091553,0,5241.892657602431,3.021829352874566,1.4162511425565445,1.88652129505589
56,15,15,1.298312908719523,2.4032208610498227,0.014377036469132945,0,7512.505297836232,3.9273357636098987,1.3999749382745394,1.8510336336561797
59,17,16,1.3308395477477966,2.4333860940496983,0.016157437983753988,0,7512.505297836232,5.22041845593599,1.3810229946691737,1.8284594098272484
54,16,17,1.2998535346940494,2.4346733175194983,0.018404453434257076,0,7512.505297836232,3.668904351858561,1.404338338938669,1.8730366556971783
58,18,18,1.348248542010863,2.437022536032773,0.00124665265444966,0,7512.505297836232,4.667306714488028,1.3866000268263807,1.80754694709185
55,19,19,1.3588583969700465,2.444032042958576,0.018605667195237516,0,7512.505297836232,3.7566188133661775,1.3991336806051757,1.7985921479443527
23,21,20,1.4095377324078406,2.512982793557168,0.016633817322633727,0,6842.248494157276,9.69251303382482,1.2836934302830454,1.7828418039326759
57,20,21,1.374890463108749,2.516035937659033,0.029506672417435965,0,7512.505297836232,3.7472903721248505,1.3977757199520273,1.8299901011532607
29,28,22,1.4668209368176466,2.6050964583975924,0.04394322885330153,0,7512.505297836232,5.568075331682114,1.1881488323869873,1.7760153219857229
30,30,23,1.4974881517605336,2.624572636197557,0.02316764803886195,0,7512.505297836232,11.521933049329782,1.1737065110952754,1.7526500180398474
6,31,24,1.5128281030737116,2.6743204807111782,0.01861720882241044,0,7512.505297836232,3.4835841711091358,1.219726504939161,1.7677622958468227
41,26,25,1.442336177459385,2.683315723804891,0.021332050515955766,0,4313.742831643038,3.863728809480719,1.3768331050113092,1.8603954929089
37,23,26,1.430481702663296,2.694008319215119,0.03192067342562179,0,5092.767797599259,3.9754214758783637,1.378295394240189,1.8832875067184478
27,29,27,1.4750097593801326,2.7076214857564094,0.03621583854300343,0,6764.118490429308,3.116370535689213,1.3957936413713576,1.835663437843474
38,25,28,1.4395129353267768,2.7117865067785827,0.0162405749863083,0,5288.39532200721,3.9591196968193456,1.3923105921882315,1.8838222569795757
40,22,29,1.4100393643644722,2.7127242210962286,0.00497648897256587,0,4305.605471304057,3.863728809480719,1.3929546903304801,1.9238641768833864
36,27,30,1.4432623137923033,2.7157531826318806,0.008797686176174511,0,4524.823125237771,3.863728809480719,1.3929546903304801,1.8816767795287273
39,24,31,1.4378211305546482,2.7232656086409666,0.009675492864446978,0,4349.328587121587,4.76567750946659,1.3824369268630712,1.8940225253126237
8,32,32,1.5627751048418417,2.7725111583021778,0.02842352520492171,0,7512.505297836232,12.282672427128837,1.2340537885939202,1.7740947815922405
9,33,33,1.6961404221968417,3.0107881218707084,0.014972756201372974,0,4471.926968291786,11.129059257951523,1.1857145336990427,1.7750818755743907
16,34,34,1.753860309781928,3.0606316089649486,0.014015814433477582,0,7512.505297836232,12.150681543689782,1.223894298194948,1.7450828848196593
13,35,35,1.7770817243663384,3.0894962859833153,0.013213748670922622,0,7512.505297836232,17.716764959352524,1.178123154147434,1.7385223445955758
66,36,36,1.8784756017703246,3.402907128427076,0.02294601838270511,0,7512.505297836232,2.423618289138463,1.4217521972553426,1.8115258591701096
