pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1903.0810181679904,0.0,60.0,0.0,0.4555824989947723,0.0,0.0006026049959473312,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1931.3893293119995,0.0,80.0,0.0,0.8277097989994218,0.0,0.0006239239955903031,0.0,0.0,0.0,1.0,0.0,73.8512579179096,0.0,0.0015569676739461968,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1935.2125703881138,0.0,120.0,0.0,1.490860607002105,0.0,0.0006714150003972463,0.0,0.0,0.0,1.0,0.0,84.44639089964767,0.0,0.00810122544896097,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1942.7527098339276,0.0,200.0,0.0,2.8567451350027113,0.0,0.0007832659975974821,0.0,0.0,0.0,1.0,0.0,101.64089606158632,0.0,0.012880155026448792,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1943.999684232676,0.0,200.0,0.0,5.703667565001524,0.0,0.0007686760000069626,0.0,0.0,0.0,1.0,0.0,108.00649612551388,0.0,0.016970828703195995,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1945.5276349096928,0.0,300.0,0.0,8.353679965999618,0.0,0.0009391669955221005,0.0,0.0,0.0,1.0,0.0,114.92810812216158,0.0,0.02234847717820676,0.0,0.0,0.0,300.0,0.0
