days,burnup_MWd_kg,EFPD,k_inf,k_inf_sd,k_core_est
0,0,0,1.39548,0.00068836,1.31643
50.0834,0.500002,50.0834,1.38119,0.000718948,1.30295
150.25,1.50001,150.25,1.3734,0.000723875,1.2956
350.584,3.50002,350.584,1.36151,0.000809851,1.28439
751.251,7.50003,751.251,1.34324,0.000724062,1.26714
1352.25,13.5001,1352.25,1.31733,0.000682773,1.2427
1752.92,17.5001,1752.92,1.32368,0.000654491,1.2487
2153.58,21.5001,2153.58,1.30028,0.000716261,1.22662
2554.25,25.5001,2554.25,1.30406,0.000785877,1.23019
2954.92,29.5001,2954.92,1.27855,0.000844091,1.20613
3355.59,33.5002,3355.59,1.2861,0.000748841,1.21325
3756.25,37.5002,3756.25,1.25776,0.000693649,1.18651
4156.92,41.5002,4156.92,1.26453,0.000768172,1.1929
4557.59,45.5002,4557.59,1.23701,0.000769246,1.16693
4958.25,49.5002,4958.25,1.24357,0.000761549,1.17312
5358.92,53.5002,5358.92,1.21635,0.000791765,1.14744
5759.59,57.5003,5759.59,1.22263,0.000807588,1.15337
6160.25,61.5003,6160.25,1.19502,0.000682178,1.12733
6560.92,65.5003,6560.92,1.20088,0.00075875,1.13285
6961.59,69.5003,6961.59,1.17438,0.000670411,1.10786
7362.26,73.5003,7362.26,1.18219,0.000789572,1.11522
7512.51,75.0003,7512.51,1.16622,0.000677192,1.10016
