idx,m_C,m_M,m_P,F_zoned,k_zoned,max_enr,leu_ok,share_C,share_M,share_P,dk_pcm,dF,dEFPD_est
7,1.0,1.0,1.0,2.025943339600739,1.2050223392210373,9.127557803300526,True,0.20588799808804262,0.4605415448667352,0.3335704570452223,0.0,0.0,0.0
7,0.8,0.8666666666666668,1.15,1.6562137323750439,1.1818932105560827,10.496691473795604,True,0.16799492419092785,0.43104696993612734,0.40095810587294467,-2312.9128664954646,-0.36972960722569503,-151.55893403829023
7,0.8,0.7333333333333334,1.25,1.60224653491491,1.1674817104564286,11.409447254125658,True,0.16363345838772414,0.39618906836747453,0.4401774732448014,-3754.062876460873,-0.42369680468582893,-245.99360231465218
7,0.8,0.6,1.35,1.6028739222225068,1.1507299743987276,12.322203034455711,True,0.16043898332723291,0.35544052318520364,0.4841204934875634,-5429.23648223097,-0.4230694173782321,-355.7632048350819
7,0.8,0.4666666666666668,1.45,1.7619280835638356,1.1308663066032587,13.234958814785763,True,0.1543264869815121,0.3070090547081809,0.5386644583103072,-7415.603261777859,-0.26401525603690335,-485.92445564491146
7,0.72,0.8933333333333335,1.15,1.5609322131503471,1.1797280912671932,10.496691473795604,True,0.15322452722336669,0.43726227121778966,0.40951320155884346,-2529.424795384405,-0.4650111264503918,-165.74637604024608
7,0.72,0.7600000000000001,1.25,1.497746037256318,1.1668339202466191,11.409447254125658,True,0.14880566895958136,0.40278539022759524,0.44840894081282334,-3818.841897441816,-0.5281973023444209,-250.23839662149166
7,0.72,0.6266666666666666,1.35,1.6081963319404389,1.1503245967576858,12.322203034455711,True,0.14388381729242605,0.3627030190532934,0.49341316365428045,-5469.774246335146,-0.41774700766030004,-358.41953504316007
7,0.72,0.49333333333333346,1.45,1.756415594438339,1.130915758916307,13.234958814785763,True,0.13722728086741323,0.3146229505065429,0.548149768626044,-7410.658030473028,-0.26952774516239986,-485.6004079922782
7,0.65,0.9166666666666666,1.15,1.5635538649732645,1.177641820830744,10.496691473795604,True,0.13908517963173755,0.4426183849425699,0.4182964354256925,-2738.051839029332,-0.4623894746274744,-179.41714280557375
7,0.65,0.7833333333333332,1.25,1.528003893645075,1.1652130496696154,11.409447254125658,True,0.13540928666456678,0.4080672604679986,0.4565234528674345,-3980.9289551421934,-0.49793944595566386,-260.8595237907543
7,0.65,0.6499999999999998,1.35,1.6097854087165082,1.150369832356531,12.322203034455711,True,0.13052910544275798,0.36830229926408653,0.5011685952931553,-5465.250686450629,-0.4161579308842307,-358.1231183799614
7,0.65,0.5166666666666666,1.45,1.770874512067978,1.1324881013027441,13.234958814785763,True,0.12351299035329727,0.32170592777103807,0.5547810818756646,-7253.4237918293165,-0.25506882753276083,-475.29727295058905
