pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1919.8283610983772,0.0,60.0,0.0,0.44893760699778795,0.0,0.0005995649989927188,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1925.7735633928735,0.0,80.0,0.0,0.8230167420042562,0.0,0.000592124997638166,0.0,0.0,0.0,1.0,0.0,58.92913999572738,0.0,0.01570436680869669,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1928.35305642362,0.0,120.0,0.0,1.4773050629955833,0.0,0.0006769449973944575,0.0,0.0,0.0,1.0,0.0,60.3145442946352,0.0,0.013895776532243387,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1942.9112831826715,0.0,200.0,0.0,2.8585106289974647,0.0,0.0007913660010672174,0.0,0.0,0.0,1.0,0.0,109.10434633881232,0.0,0.03067971056927732,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1943.6014522269145,0.0,200.0,0.0,5.692529320003814,0.0,0.0007953960011946037,0.0,0.0,0.0,1.0,0.0,107.4088354361811,0.0,0.029279466663296727,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1945.3722472500224,0.0,300.0,0.0,8.2660734279998,0.0,0.0010533079985179938,0.0,0.0,0.0,1.0,0.0,112.69534563840534,0.0,0.03382396011359923,0.0,0.0,0.0,300.0,0.0
