pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,8,True,0.0,0.0,0.0,0.0,1902.6507504652463,12.720597514265272,60.0,0.0,0.447280302371837,0.003600138605987137,0.0006004997503623599,4.604471384527779e-06,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,8,False,0.0,0.0,0.0,0.0,1913.0480273203061,20.411726894629858,80.0,0.0,0.8177419940002437,0.006173320841876654,0.0006106694982008776,1.2660527174950045e-05,0.0625,0.16535945694153692,0.6875,0.34798527267687634,67.75983696926755,55.451442399089196,0.01900483943094669,0.017123344870452948,0.0,0.0,80.0,0.0
120,160,19200,8,False,0.0,0.0,0.0,0.0,1931.5829452851044,5.94711248730629,120.0,0.0,1.473971002124017,0.009936286799935003,0.0006648562493865029,1.3483127452161427e-05,0.0,0.0,0.6875,0.34798527267687634,104.0202917651468,39.30908171834609,0.0214375370483538,0.01128574580971105,0.0,0.0,120.0,0.0
200,200,40000,8,False,0.0,0.0,0.0,0.0,1940.3174300786368,1.6654367297358048,200.0,0.0,2.8147977578746577,0.02631791472531847,0.000788132374509587,6.039804498425439e-06,0.0,0.0,0.6875,0.34798527267687634,128.2841794801393,42.267887079383925,0.03195764174299848,0.01247942967116665,0.0,0.0,200.0,0.0
200,400,80000,8,False,0.0,0.0,0.0,0.0,1942.922640600955,1.3605598745203773,200.0,0.0,5.62770136137533,0.0430645091284793,0.0007808908749211696,1.0012769979192837e-05,0.0,0.0,0.6875,0.34798527267687634,139.34787221074725,41.4688276368086,0.03689527799715733,0.01181852862476407,0.0,0.0,200.0,0.0
300,400,120000,8,False,0.0,0.0,0.0,0.0,1945.1337844744144,0.5859463747950755,300.0,0.0,8.216457111249838,0.06278332741638266,0.00096581249817973,6.884693329201364e-05,0.0,0.0,0.6875,0.34798527267687634,145.15390350488815,44.0117750994557,0.04097603103326078,0.012940497979427354,0.0,0.0,300.0,0.0
