cand,particles,seed,fdh,rel_err,n_tied,keff,wall_s
0,256000,1,1.1184954945810546,0.0032141692512770675,5,1.2488801324356156,168.35589742660522
0,256000,2,1.1197146414927348,0.002833647792257881,3,1.2491098843464288,168.19811081886292
0,256000,3,1.1243069689660274,0.0029287157264779942,3,1.248717838060813,167.89684200286865
0,256000,4,1.1187886223762544,0.002656635810517507,3,1.2483933138978016,168.73548340797424
0,256000,5,1.1208155586775939,0.0029723924919395368,2,1.249090564240227,167.75319647789001
0,256000,6,1.1226826605620537,0.0027647748552347925,3,1.2487235764919327,168.11123418807983
0,256000,7,1.1198071170900443,0.0031529739999888143,5,1.2487247544133013,168.2589681148529
0,256000,8,1.1259202535257369,0.003422734345878884,2,1.2491667949011322,168.30527591705322
0,64000,1,1.1291171189366187,0.005771434455373164,3,1.24877604398884,46.91371512413025
0,64000,2,1.1241889833599639,0.006223386240495814,3,1.2489335576053786,44.92416834831238
0,64000,3,1.1245354317886618,0.005389085998260492,3,1.2487919906368792,45.210200786590576
0,64000,4,1.1345738818582172,0.005705094927690645,3,1.2491042045083778,45.70201873779297
0,64000,5,1.136673976545334,0.005766248812177247,1,1.2486072268149635,46.05798864364624
1,256000,1,1.1254838201862167,0.003157098225318595,2,1.1562342717836076,184.282124042511
1,256000,2,1.1237545154781863,0.0027977771748015066,3,1.1561747759615189,184.09323120117188
1,256000,3,1.1267850571401379,0.002741725807713503,1,1.1561407588691657,185.603497505188
1,256000,4,1.1227956771224161,0.0027822045216141966,5,1.1560505834463644,185.1144528388977
1,256000,5,1.125392205268327,0.002684982957019412,2,1.1563941397541828,187.72024202346802
1,256000,6,1.1230631634771153,0.0027380427472378554,2,1.1560769012249112,185.69057273864746
1,256000,7,1.1232681167798062,0.0028391115374562918,5,1.156256505218504,184.97291684150696
1,256000,8,1.1244446296632256,0.002588813203316128,1,1.1560122907498016,186.11822700500488
1,64000,1,1.1274010160626111,0.005494651179720842,5,1.1558190458299002,51.15475797653198
1,64000,2,1.1331216551896983,0.005651760763021139,2,1.1558888063950148,50.5496940612793
1,64000,3,1.1247033236524873,0.0057127226281011535,5,1.1556800558495746,50.56697916984558
1,64000,4,1.1277011756452389,0.006042216087832143,7,1.1568582507409495,50.87048411369324
1,64000,5,1.132021921760094,0.0053851292910560115,4,1.155954154355344,51.5524160861969
2,256000,1,1.117719111906031,0.0030728879503539703,8,1.2544100712872317,167.1016538143158
2,256000,2,1.1230776649302934,0.0028281770843607843,1,1.2543158746328642,168.58214020729065
2,256000,3,1.1192598838729737,0.0033440062464745184,6,1.2538010825871742,166.66155433654785
2,256000,4,1.1202465296756918,0.0030813396956222193,4,1.254015774775721,169.74244856834412
2,256000,5,1.1186475710529291,0.0029968847874936007,5,1.2542349474679402,166.44286227226257
2,256000,6,1.1207289534328133,0.002873716554273889,2,1.2543551507837811,166.42558121681213
2,256000,7,1.1223360572203112,0.0027461167360114972,3,1.2542082666653358,167.8514540195465
2,256000,8,1.1272435449320932,0.0029373026418638964,1,1.254348549415102,167.17989587783813
2,64000,1,1.1282631584013998,0.005258353000804912,1,1.2540928019560702,46.2348313331604
2,64000,2,1.1242491063349143,0.006532041661098795,6,1.2537374637928809,46.78206491470337
2,64000,3,1.1280733742046614,0.005981686603857079,5,1.2545152028205295,46.811243772506714
2,64000,4,1.1247505138627671,0.004903060526270015,3,1.254358251290454,47.28728199005127
2,64000,5,1.1283189465620758,0.006086382566007712,4,1.2541770085812463,46.84379172325134
3,64000,1,1.1426854722013493,0.005669945470362503,2,1.3428422593434945,51.407100200653076
3,64000,2,1.1423705043431531,0.005890670428340899,4,1.3428142210672387,51.671499490737915
3,64000,3,1.1486061744319052,0.005307276515751276,1,1.3432404383483212,51.263670682907104
3,64000,4,1.1426154400659196,0.006015599629311495,4,1.3429497344511092,51.893616676330566
3,64000,5,1.1383763135865104,0.005353241528954149,4,1.3426654922566807,51.849043130874634
4,64000,1,1.1424450049825043,0.0057911301339406826,1,1.262137254234035,47.174453020095825
4,64000,2,1.149308702876048,0.0053252706815403224,1,1.2622937610894354,47.43917417526245
4,64000,3,1.1393939235091524,0.00526576552522611,3,1.2626575853104485,46.743937969207764
4,64000,4,1.147189976359263,0.005052318938234599,1,1.2625842894422994,47.293954610824585
4,64000,5,1.1408699690293058,0.006448064974088521,2,1.2623272079636683,47.00388503074646
5,256000,1,1.1231762061244577,0.0028250001853133795,6,1.2637702001346718,169.87468576431274
5,256000,2,1.1222128557210538,0.003004678938759722,4,1.2634461434639122,170.29169297218323
5,256000,3,1.1263321005972875,0.0031692007394096954,1,1.2640036108221622,170.7796139717102
5,256000,4,1.122716225126514,0.003262792391611676,6,1.2633186510829342,168.67892289161682
5,256000,5,1.1255503822445594,0.002730382971313331,2,1.2633642658150148,169.55099868774414
5,256000,6,1.124075141036834,0.003119242038995491,3,1.2639577353531164,170.03333973884583
5,256000,7,1.1236352373970033,0.0031680493998111478,3,1.2637748926714325,169.79123425483704
5,256000,8,1.1254882456468673,0.002934462560509937,2,1.2639165340214538,169.7863006591797
5,64000,1,1.127603460077186,0.005363024545465928,5,1.2645655828337248,48.306650161743164
5,64000,2,1.1257974391119456,0.005114576800991927,7,1.263529623609852,47.33377766609192
5,64000,3,1.1213773228353086,0.005820189443075388,6,1.2630912129279255,47.535855293273926
5,64000,4,1.1276982139524114,0.005329033198280417,2,1.2636092749660532,47.94873785972595
5,64000,5,1.1207816460552182,0.005850105716888938,11,1.2634625441743332,48.146913051605225
6,256000,1,1.1279742514244882,0.0032240319542931753,4,1.259632701367589,165.689355134964
6,256000,2,1.1355946388463263,0.0030876676579013854,1,1.2594529426433858,166.35319304466248
6,256000,3,1.128815977079647,0.002973570029284135,6,1.259577222535645,166.29477787017822
6,256000,4,1.1290503467457977,0.002887314714236987,2,1.259327503417187,167.7839663028717
6,256000,5,1.1268540185939016,0.0028299694747677836,4,1.2592724052347803,166.42857575416565
6,256000,6,1.126848659154071,0.0028358125937237868,4,1.2590736744404805,167.36190700531006
6,256000,7,1.1297900542799357,0.003021001575575959,1,1.2593633962023623,166.71592617034912
6,256000,8,1.128223688323444,0.0031153520348279223,3,1.259159747712578,168.82948446273804
6,64000,1,1.1336873854120295,0.00513498094146156,1,1.2588118917688913,47.989166021347046
6,64000,2,1.134370889622511,0.006048552297239866,4,1.2588753937953627,48.4443519115448
6,64000,3,1.1345886051072953,0.006629217495612225,3,1.2590129217969,47.532920360565186
6,64000,4,1.1272129044028671,0.0061260002534104414,8,1.2585946705223725,47.075347661972046
