pop,gen,n_surrogate_evals,n_seeds,is_baseline,cv_min_pop_mean,cv_min_pop_std,cv_mean_pop_mean,cv_mean_pop_std,hv_surrogate_mean,hv_surrogate_std,n_feasible_pop_mean,n_feasible_pop_std,t_search_s_mean,t_search_s_std,t_acquisition_s_mean,t_acquisition_s_std,agreement_mean,agreement_std,gd_pins_agreement_mean,gd_pins_agreement_std,d_cycle_EFPD_mean,d_cycle_EFPD_std,d_peaking_mean,d_peaking_std,violation_selected_mean_mean,violation_selected_mean_std,n_candidates_used_mean,n_candidates_used_std
60,80,4800,1,True,0.0,0.0,0.0,0.0,1902.330461254659,0.0,60.0,0.0,0.44622891699691536,0.0,0.0006078350052121095,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0
80,120,9600,1,False,0.0,0.0,0.0,0.0,1905.384513729365,0.0,80.0,0.0,0.8143161549960496,0.0,0.0005916139998589642,0.0,0.0,0.0,0.5,0.0,22.45496685818398,0.0,0.0028998149973058496,0.0,0.0,0.0,80.0,0.0
120,160,19200,1,False,0.0,0.0,0.0,0.0,1940.5207020481703,0.0,120.0,0.0,1.4677889690065058,0.0,0.0006449749998864718,0.0,0.0,0.0,0.5,0.0,138.91743313721418,0.0,0.03626014830116597,0.0,0.0,0.0,120.0,0.0
200,200,40000,1,False,0.0,0.0,0.0,0.0,1941.01058963917,0.0,200.0,0.0,2.800328402998275,0.0,0.0007793859986122698,0.0,0.0,0.0,0.5,0.0,122.51700705779149,0.0,0.03358207556497095,0.0,0.0,0.0,200.0,0.0
200,400,80000,1,False,0.0,0.0,0.0,0.0,1944.076913683371,0.0,200.0,0.0,5.5960772820035345,0.0,0.000782465998781845,0.0,0.0,0.0,0.5,0.0,144.6061085608162,0.0,0.04004402197953638,0.0,0.0,0.0,200.0,0.0
300,400,120000,1,False,0.0,0.0,0.0,0.0,1945.5750593008277,0.0,300.0,0.0,8.198253363996628,0.0,0.0009371269989060238,0.0,0.0,0.0,0.5,0.0,149.17494630990768,0.0,0.043085538329550754,0.0,0.0,0.0,300.0,0.0
