idx,e_in,e_out,gd_wt,pins,pitch,refl,k_bol,k_xe,k_peak,b_peak,hump_pcm,swing_peak_pcm,swing_xe_pcm,efpd,status
0,10.61,10.61,7.03,12,1.260,4.75,1.3716,1.3588,1.3588,0.5,-688,18787,18787,5980,OK
1,5.51,5.51,2.76,24,1.260,3.35,1.1690,1.1527,1.1798,13.5,+782,7556,5563,2742,OK
2,12.54,12.54,3.60,24,1.260,2.73,1.3621,1.3491,1.3491,0.5,-710,18163,18163,7180,OK
3,11.52,11.52,0.81,40,1.260,3.49,1.3371,1.3343,1.3682,7.5,+1697,19234,17379,6677,OK
4,12.92,12.92,4.05,32,1.260,2.95,1.3255,1.3154,1.3154,0.5,-580,16275,16275,7184,OK
5,3.05,3.05,5.21,40,1.260,2.41,0.8526,0.8393,1.0073,13.5,+18005,-7005,-26869,0,OK
6,6.78,6.78,1.35,24,1.260,4.92,1.2557,1.2372,1.2699,7.5,+892,13642,11560,3659,OK
7,6.11,6.11,7.80,40,1.260,3.83,1.0421,1.0359,1.0359,0.5,-566,-4191,-4191,0,OK
8,12.31,12.31,2.55,20,1.260,5.12,1.3840,1.3702,1.3702,0.5,-726,19416,19416,7131,OK
9,13.85,13.85,3.15,32,1.260,5.44,1.3504,1.3406,1.3406,0.5,-542,17818,17818,7755,OK
10,7.89,7.89,5.94,24,1.260,4.56,1.2377,1.2244,1.2244,0.5,-878,10698,10698,4163,OK
11,5.26,5.26,6.91,20,1.260,3.18,1.1456,1.1259,1.1270,1.5,-1440,3576,3493,2457,OK
12,4.37,4.37,0.14,32,1.260,5.59,1.1997,1.2170,1.2447,1.5,+3016,12079,10251,1971,OK
13,9.18,9.18,5.41,24,1.260,3.61,1.2823,1.2644,1.2644,0.5,-1104,13242,13242,5024,OK
14,7.05,7.05,6.30,16,1.260,4.72,1.2623,1.2368,1.2368,0.5,-1637,11523,11523,3778,OK
15,8.35,8.35,3.82,16,1.260,2.25,1.3094,1.2973,1.2973,0.5,-714,15181,15181,4600,OK
16,4.86,4.86,4.66,12,1.260,4.12,1.2066,1.1817,1.1817,0.5,-1744,7730,7730,2283,OK
17,3.95,3.95,2.28,32,1.260,4.41,1.0223,1.0142,1.1236,7.5,+8823,3365,-6236,1599,OK
18,10.38,10.38,0.54,20,1.260,3.90,1.3893,1.3760,1.3862,3.5,-158,20205,19665,5973,OK
19,11.38,11.38,1.17,32,1.260,4.22,1.3486,1.3323,1.3568,7.5,+451,18656,17296,6518,OK
20,2.52,2.52,4.91,16,1.260,2.80,0.9562,0.9439,0.9912,7.5,+3694,-8600,-13651,0,OK
21,2.45,2.45,6.51,24,1.260,2.60,0.8827,0.8718,0.9614,13.5,+9277,-11733,-22425,0,OK
22,8.90,8.90,1.76,32,1.260,5.23,1.2719,1.2607,1.2886,7.5,+1019,14799,13080,5031,OK
23,9.75,9.75,7.56,32,1.260,2.12,1.2254,1.2083,1.2100,1.5,-1043,9615,9501,5177,OK
24,5.42,5.42,6.68,24,1.260,5.66,1.1363,1.1150,1.1150,0.5,-1681,2737,2737,2570,OK
25,4.64,4.64,5.22,20,1.260,5.66,1.1227,1.1047,1.1047,0.5,-1451,1900,1900,2045,OK
26,4.38,4.38,3.73,16,1.260,5.66,1.1433,1.1234,1.1303,7.5,-1004,3949,3405,1899,OK
27,5.11,5.11,5.70,24,1.260,5.66,1.1300,1.1034,1.1075,17.5,-1799,2127,1793,2373,OK
28,5.60,5.60,7.82,24,1.260,5.66,1.1321,1.1244,1.1244,0.5,-609,3484,3484,1266,OK
29,4.48,4.48,4.21,20,1.260,5.66,1.1184,1.0987,1.1191,13.5,+55,3064,1405,1993,OK
30,4.29,4.29,2.79,16,1.260,5.66,1.1452,1.1259,1.1459,7.5,+56,5155,3606,1874,OK
31,4.11,4.11,0.41,24,1.260,5.66,1.1589,1.1577,1.2135,3.5,+3880,10017,6042,1738,OK
32,4.42,4.42,1.88,16,1.260,5.66,1.1661,1.1457,1.1833,7.5,+1247,7911,5140,1950,OK
33,4.23,4.23,3.66,20,1.260,5.66,1.1049,1.0880,1.1174,13.5,+1011,2926,513,1806,OK
34,4.26,4.26,3.32,16,1.260,5.66,1.1407,1.1197,1.1329,7.5,-608,4149,3115,1841,OK
35,4.36,4.36,2.63,16,1.260,5.65,1.1537,1.1339,1.1580,7.5,+320,6063,4229,1938,OK
36,4.28,4.28,6.21,20,1.260,5.66,1.0863,1.0677,1.0677,0.5,-1607,-1239,-1239,12,OK
37,4.34,4.34,4.68,20,1.260,5.66,1.1014,1.0810,1.1021,13.5,+65,1689,-83,1869,OK
38,4.33,4.33,5.58,20,1.260,5.66,1.0962,1.0757,1.0854,13.5,-909,286,-540,1746,OK
39,4.24,4.24,3.12,16,1.260,5.66,1.1435,1.1195,1.1353,7.5,-625,4342,3098,1804,OK
40,4.23,4.23,2.71,16,1.260,5.66,1.1472,1.1225,1.1464,7.5,-58,5194,3334,1870,OK
41,4.25,4.25,3.51,20,1.260,5.66,1.1070,1.0905,1.1185,7.5,+928,3013,717,1800,OK
42,4.40,4.40,4.10,20,1.260,5.66,1.1140,1.0926,1.1199,13.5,+472,3129,895,1930,OK
43,3.92,3.92,0.02,24,1.260,5.66,1.2571,1.2360,1.2360,0.5,-1358,11512,11512,1607,OK
44,4.24,4.24,3.15,20,1.260,5.66,1.1135,1.0917,1.1261,7.5,+1004,3622,817,1858,OK
45,4.27,4.27,3.36,20,1.260,5.66,1.1134,1.0918,1.1218,7.5,+667,3277,832,1812,OK
46,4.22,4.22,2.94,20,1.260,5.66,1.1113,1.0919,1.1334,7.5,+1750,4188,837,1807,OK
47,4.46,4.46,4.42,20,1.260,5.66,1.1158,1.0922,1.1159,13.5,+8,2807,867,1947,OK
48,4.13,4.13,4.92,16,1.260,5.66,1.1177,1.0948,1.0977,1.5,-1633,1322,1080,1696,OK
49,4.17,4.17,2.58,12,1.260,5.66,1.1796,1.1563,1.1592,7.5,-1496,6154,5940,1792,OK
50,4.20,4.20,5.35,16,1.260,5.66,1.1219,1.0969,1.0972,1.5,-2004,1284,1253,1746,OK
51,4.18,4.18,2.68,12,1.260,5.66,1.1780,1.1557,1.1581,7.5,-1455,6073,5895,1840,OK
52,4.26,4.26,3.86,16,1.260,5.66,1.1366,1.1108,1.1191,13.5,-1378,3060,2400,1793,OK
53,4.17,4.17,2.48,12,1.260,5.66,1.1758,1.1538,1.1573,3.5,-1362,6014,5751,1811,OK
54,4.21,4.21,0.33,20,1.260,5.66,1.1874,1.1888,1.2242,1.5,+2526,10734,8306,1841,OK
55,4.20,4.20,0.09,24,1.260,5.66,1.2293,1.2385,1.2441,1.5,+966,12043,11677,1813,OK
